plotfile,step,P_mean,P_min,P_max,P_std,Vg_mean,Vg_min,Vg_max,Vg_std,Nx,Ny,Nz,num_FE_cells,sweep_direction
plt00005576,5576,0.06852445139584253,0.05311898319497015,0.07115119115515724,0.004500546740294977,-4.486290858151201,-4.486290858151214,-4.486290858151184,8.072626979010118e-15,64,64,59,53248,0.0
plt00005600,5600,0.06665363165007984,0.0506673705616439,0.06876669526466356,0.004661793398512145,-3.991759311039235,-3.991759311039371,-3.991759311039131,6.062961380287696e-14,64,64,59,53248,1.0
plt00005627,5627,0.06465958930766416,0.04804638282501576,0.06630226590186816,0.00484376674040594,-3.497026437182101,-3.4970264371821433,-3.4970264371820527,2.512932857498226e-14,64,64,59,53248,1.0
plt00005656,5656,0.06251922462197866,0.04522607846192016,0.06432411671551537,0.005049982693023332,-3.0020528652539253,-3.0020528652539498,-3.0020528652538965,1.1023122575174604e-14,64,64,59,53248,1.0
plt00005688,5688,0.06020136773959201,0.04216709977168392,0.06219148891170624,0.005285061142682069,-2.5067851225741853,-2.506785122574195,-2.5067851225741773,3.516533945083079e-15,64,64,59,53248,1.0
plt00005724,5724,0.05766229692346048,0.03881618842848688,0.05986814105338945,0.005555253279687812,-2.0111475489144977,-2.011147548914529,-2.011147548914477,9.173123262346997e-15,64,64,59,53248,1.0
plt00005766,5766,0.05483728181375588,0.03509803733998602,0.05730120023877724,0.005869457007127776,-1.5150268687917472,-1.5150268687917527,-1.5150268687917423,2.3268378240997797e-15,64,64,59,53248,1.0
plt00005815,5815,0.051623383030949994,0.030899848057553154,0.05440837538270562,0.006241299867287739,-1.0182392709523436,-1.018239270952432,-1.0182392709522505,4.0533290824389957e-14,64,64,59,53248,1.0
plt00005877,5877,0.04784090002377371,0.026039843818679055,0.0510505647664249,0.006694217265697635,-0.5204482250448855,-0.5204482250448912,-0.52044822504488,2.1828750022409576e-15,64,64,59,53248,1.0
plt00005963,5963,0.04313848806022079,0.020202955848556522,0.04697327930751544,0.007276943799600624,-0.020918532180264876,-0.020918532180265216,-0.020918532180264345,1.7117543768144073e-16,64,64,59,53248,1.0
plt00006066,6066,0.037972557611788874,0.014189765667046056,0.042692290575465884,0.007960397770598647,0.4814011918362944,0.4814011918362905,0.481401191836298,1.4770230683725428e-15,64,64,59,53248,1.0
plt00006171,6171,0.0362186615710257,0.012269247841602948,0.04131303300972588,0.008215779306775936,0.9828707345682215,0.9828707345682091,0.9828707345682322,7.030109804326494e-15,64,64,59,53248,1.0
plt00006298,6298,0.03420432936211428,0.010149529955780792,0.03979758108840012,0.008537407241581892,1.4850048271954888,1.4850048271954577,1.4850048271955218,1.436041939141004e-14,64,64,59,53248,1.0
plt00006433,6433,-0.0580121497282399,-0.060187417200260156,-0.039277592447770966,0.005517305301598015,2.041587351883374,2.041587351883329,2.041587351883421,2.071533067562947e-14,64,64,59,53248,1.0
plt00006465,6465,-0.060548232717147155,-0.06250996772057994,-0.042624977602790846,0.005249159997314465,2.5371140190401205,2.5371140190401165,2.5371140190401245,2.034315183175727e-15,64,64,59,53248,1.0
plt00006494,6494,-0.06286372579876064,-0.06464196708312385,-0.045680366311428355,0.005016073363793567,3.0322778561977524,3.0322778561977466,3.0322778561977586,2.3102244613642867e-15,64,64,59,53248,1.0
plt00006521,6521,-0.06500220451582023,-0.06665181998134209,-0.04849720392141603,0.0048117923254291884,3.5271529373660866,3.52715293736586,3.527152937366253,8.781418480341978e-14,64,64,59,53248,1.0
plt00006545,6545,-0.06699472502102004,-0.06920233806758637,-0.051114904106557876,0.004631703685960646,4.021791617762778,4.021791617762773,4.021791617762781,1.9293619143415393e-15,64,64,59,53248,1.0
plt00006568,6568,-0.06886435463026941,-0.07158319691863516,-0.053563551295214215,0.0044722718356388046,4.516232530124362,4.516232530124331,4.516232530124393,2.1642800520687335e-14,64,64,59,53248,1.0
plt00006592,6592,-0.06699474725353373,-0.06920234249508876,-0.05111495967385511,0.004631692788468908,4.021791633015683,4.021791633015675,4.021791633015691,3.2953244754398602e-15,64,64,59,53248,-1.0
plt00006618,6618,-0.06500222376186646,-0.06665182330956379,-0.048497255532631005,0.004811781842883887,3.5271529506456014,3.5271529506455583,3.5271529506456467,1.9363448119103636e-14,64,64,59,53248,-1.0
plt00006647,6647,-0.0628637462030997,-0.06464197962790019,-0.045680424725570386,0.005016061132194912,3.0322778704562046,3.0322778704562023,3.0322778704562072,1.5503420817984882e-15,64,64,59,53248,-1.0
plt00006679,6679,-0.06054825530816351,-0.06250998001537757,-0.04262504611129403,0.005249145272023876,2.537114035119159,2.5371140351191483,2.5371140351191688,4.977465500091126e-15,64,64,59,53248,-1.0
plt00006715,6715,-0.058012173407736296,-0.06018743256750303,-0.03927765457395544,0.005517293039848028,2.041587370055434,2.041587370055407,2.0415873700554616,1.5627054599648344e-14,64,64,59,53248,-1.0
plt00006756,6756,-0.055191175166429365,-0.05762162010901795,-0.03556277641708818,0.005829390724248267,1.5455868551919882,1.5455868551919816,1.545586855191994,2.6402833231878806e-15,64,64,59,53248,-1.0
plt00006805,6805,-0.051983794761578835,-0.05473114052337835,-0.031368169002789215,0.006198943927237113,1.0489321015687825,1.0489321015687663,1.0489321015687934,5.9826626562484824e-15,64,64,59,53248,-1.0
plt00006866,6866,-0.04821461512696346,-0.051379672737529115,-0.026514704721073784,0.006648840839948784,0.5512947412485639,0.5512947412485477,0.5512947412485731,5.518597901966568e-15,64,64,59,53248,-1.0
plt00006949,6949,-0.04353496131874312,-0.04731173697356059,-0.020683593866789744,0.007226848258946187,0.051965244582860254,0.051965244582859074,0.05196524458286196,7.981929087724368e-16,64,64,59,53248,-1.0
plt00007055,7055,-0.038117829371836436,-0.042808601156504124,-0.01435180545566925,0.007939999018840816,-0.45030424071247827,-0.4503042407124823,-0.4503042407124729,2.013606754972241e-15,64,64,59,53248,-1.0
plt00007159,7159,-0.03633239771322322,-0.04140095677826512,-0.012391730396199452,0.008198633912570818,-0.951773671408141,-0.9517736714081503,-0.9517736714081315,4.349064886942089e-15,64,64,59,53248,-1.0
plt00007284,7284,-0.03434557606743868,-0.03990100899613514,-0.010295041429969565,0.008513566010749464,-1.4538480948610015,-1.4538480948610166,-1.4538480948609884,6.1731669849115015e-15,64,64,59,53248,-1.0
plt00007430,7430,0.05766227090625931,0.03881611907889945,0.05986812460569957,0.0055552671062618795,-2.011147528826066,-2.011147528826092,-2.0111475288260254,1.3593546412625366e-14,64,64,59,53248,-1.0
plt00007463,7463,0.060201346152139006,0.042167032839269904,0.06219147761230101,0.0052850756812481605,-2.5067851073434144,-2.506785107343445,-2.50678510734338,1.1876013711989645e-14,64,64,59,53248,-1.0
plt00007493,7493,0.062519205490601,0.04522602245630991,0.06432410530384257,0.005049994551784654,-3.0020528519802436,-3.0020528519802547,-3.0020528519802316,5.59259352151117e-15,64,64,59,53248,-1.0
