plotfile,step,P_mean,P_min,P_max,P_std,Vg_mean,Vg_min,Vg_max,Vg_std,Nx,Ny,Nz,num_FE_cells,sweep_direction
plt00007801,7801,0.04424363807398607,0.03751831656000108,0.04673871864162693,0.0018251018628412982,-4.470912962082645,-4.470912962082665,-4.470912962082609,1.2891501309665522e-14,64,64,59,65536,0.0
plt00007824,7824,0.042748346166927007,0.03563080974719245,0.04485721182305347,0.0018970492196287915,-3.976226730673836,-3.9762267306738397,-3.9762267306738326,1.6184142622847343e-15,64,64,59,65536,1.0
plt00007850,7850,0.0411332737518911,0.03358565264950895,0.0428161064380781,0.0019859739055016075,-3.4813518662536334,-3.4813518662536778,-3.4813518662535907,2.0212920525506493e-14,64,64,59,65536,1.0
plt00007879,7879,0.03937060710816123,0.03134781935999133,0.040577002748981815,0.002095121359921497,-2.9862438443478028,-2.9862438443478068,-2.9862438443477988,2.046397339490942e-15,64,64,59,65536,1.0
plt00007912,7912,0.037420205171719276,0.028868165258477244,0.038087319804686375,0.002228824639368355,-2.490838530031467,-2.490838530031773,-2.4908385300312688,8.700058561106438e-14,64,64,59,65536,1.0
plt00007951,7951,0.035220474818787866,0.026074233678821793,0.036005887143119836,0.00239314495011625,-1.9950377126514414,-1.9950377126515588,-1.9950377126513335,5.0963734063084766e-14,64,64,59,65536,1.0
plt00007999,7999,0.032668242620923243,0.022851436273608926,0.03360125159419313,0.002597078186426684,-1.4986769426320572,-1.4986769426320694,-1.4986769426320456,5.845761760560326e-15,64,64,59,65536,1.0
plt00008061,8061,0.029566066538386806,0.01899838215507535,0.030696043409481486,0.0028551470843878332,-1.0014397705765508,-1.0014397705765543,-1.0014397705765472,1.8408873757358923e-15,64,64,59,65536,1.0
plt00008155,8155,0.025432512050522528,0.014083243539170098,0.026863689384754957,0.0031954314965385363,-0.5025493590108849,-0.5025493590108919,-0.5025493590108752,3.5337437051118974e-15,64,64,59,65536,1.0
plt00008359,8359,0.0187907309816545,0.00716158854328857,0.0208784210089687,0.0036846995397597612,0.0008887906776160449,0.0008887906776158675,0.000888790677616286,1.218319578048e-16,64,64,59,65536,1.0
plt00008655,8655,0.015353816151902866,0.004232009766164523,0.017989803664113152,0.0039379942761740986,0.504643206421532,0.5046432063964172,0.5046432064532106,1.5235380709155632e-11,64,64,59,65536,1.0
plt00008879,8879,-0.029879838659274217,-0.030988907590719244,-0.019383323087732534,0.0028288694008342767,1.0322299419016148,1.0322299416411524,1.0322299421784205,1.286584695892339e-10,64,64,59,65536,1.0
plt00008928,8928,-0.03295269492570755,-0.03386865656134725,-0.02320892731049134,0.0025738263214293783,1.5293252788362839,1.5293252788362393,1.5293252788363505,2.0297886051681602e-14,64,64,59,65536,1.0
