plotfile,step,P_mean,P_min,P_max,P_std,Vg_mean,Vg_min,Vg_max,Vg_std,Nx,Ny,Nz,num_FE_cells,sweep_direction
plt00013821,13821,0.15893752765016336,-0.21036271325029118,0.20303536770754513,0.0859214273504107,-4.55484479096142,-4.57560076529394,-4.465391420483514,0.03078052388005406,64,64,59,45056,0.0
plt00014221,14221,0.1547683089415101,-0.21344591770701235,0.20109520519523985,0.0895707070812047,-4.059840818119476,-4.080600373241907,-3.972421220004032,0.03041710784082687,64,64,59,45056,1.0
plt00014425,14425,0.15117466295206208,-0.21565920580412798,0.19921840190607487,0.09177539299401458,-3.564537485428965,-3.585444458982609,-3.477657069975637,0.03056358241499609,64,64,59,45056,1.0
plt00014610,14610,0.147806570928746,-0.21716492326749468,0.19775365552622248,0.09319526247278713,-3.068680311852316,-3.090116185719957,-2.980940401033939,0.03144946539858162,64,64,59,45056,1.0
plt00014922,14922,0.13586614832547675,-0.21336637242901543,0.19896120359975364,0.10784944149746283,-2.5665459273770677,-2.594580995310652,-2.4648040647923746,0.03956437589541372,64,64,59,45056,1.0
plt00015042,15042,0.1325785234928004,-0.2149488826155153,0.1969784658550448,0.1086091371737758,-2.070755176790401,-2.098849693976239,-1.969077747529399,0.03981724687956072,64,64,59,45056,1.0
plt00015408,15408,0.11998358678068076,-0.21016477718370108,0.19770603077483093,0.12044812128458271,-1.5676830982386036,-1.6028615667655877,-1.453174211115538,0.048126584820069034,64,64,59,45056,1.0
plt00015539,15539,0.11662789044891336,-0.21180555677937446,0.1957219636312636,0.12079038432956189,-1.0715260186177913,-1.106618349811717,-0.957164546354286,0.04829001345936838,64,64,59,45056,1.0
plt00015845,15845,0.10401598071184197,-0.2084924930095369,0.19594731185116065,0.13003965874509657,-0.5675748350082084,-0.6100452653392953,-0.44189207745086173,0.056390408789306665,64,64,59,45056,1.0
plt00016064,16064,0.10062130567956533,-0.20968852700255142,0.19413536603706574,0.12997216716921908,-0.07062400685574219,-0.11312412351667891,0.05538268706705669,0.056789807235335076,64,64,59,45056,1.0
plt00016369,16369,0.08834356593773743,-0.2072015390048934,0.1942975108181704,0.13709372871927458,0.4343783955505617,0.3842429736661043,0.5698239100907901,0.06452424387245861,64,64,59,45056,1.0
plt00016892,16892,0.07537980147994992,-0.20616019605724914,0.19364678396914056,0.14330364073226357,0.9396980397473009,0.8821266007589088,1.080668846291715,0.07114454024299591,64,64,59,45056,1.0
plt00023786,23786,-0.043448908631175176,-0.20319984277047745,0.19457270729227263,0.16294270971265998,1.5329642809071613,1.3921725436790948,1.6295843207016016,0.09248353138146072,64,64,59,45056,1.0
plt00025429,25429,-0.09990806911710291,-0.202978900341991,0.19835409396120565,0.14037553705850797,2.073992382251574,1.937704042294613,2.1280117408763233,0.06703043743037329,64,64,59,45056,1.0
plt00026471,26471,-0.13186252100624643,-0.20062139591807945,0.2094335935013551,0.11363795319121889,2.592992598648442,2.4848281084274686,2.6242099426386623,0.04381126412896971,64,64,59,45056,1.0
plt00027556,27556,-0.13846223405030492,-0.20268942863327333,0.2068426968812343,0.10816000802526587,3.0880991440620136,2.9784894485200013,3.1196482378322097,0.044980571666366584,64,64,59,45056,1.0
plt00028229,28229,-0.14822151753816526,-0.20152850101857037,0.21190428447301285,0.0976861540523712,3.590956368452371,3.495951636122951,3.614990260787459,0.035114415728078774,64,64,59,45056,1.0
plt00028740,28740,-0.1529974240296237,-0.20345362670609557,0.20867799502451276,0.09357290036297085,4.085908865555568,3.988475947940903,4.1100618566104155,0.03582912076884257,64,64,59,45056,1.0
plt00029644,29644,-0.18165475440355305,-0.18954106887719868,-0.12412017890279375,0.018506235292100544,4.605377401590855,4.605377306098147,4.6053774396389375,2.6174712541206833e-08,64,64,59,45056,1.0
plt00029662,29662,-0.17920150934322612,-0.18738502652832154,-0.12063091358708927,0.018878672108899205,4.110466253925715,4.110466253917457,4.110466253930606,2.62295496027621e-12,64,64,59,45056,-1.0
plt00029681,29681,-0.17666277076635664,-0.18516275237678412,-0.1170104625158836,0.01927262319273496,3.6153996984678356,3.6153996984678116,3.615399698467866,1.2274995494301587e-14,64,64,59,45056,-1.0
