plotfile,step,P_mean,P_min,P_max,P_std,Vg_mean,Vg_min,Vg_max,Vg_std,Nx,Ny,Nz,num_FE_cells,sweep_direction
plt00008983,8983,0.06059425198060618,0.04618217710489275,0.06189373951758352,0.004034053921307878,-4.495343582996226,-4.495343582996241,-4.495343582996203,7.936347579412092e-15,64,64,59,57344,0.0
plt00009012,9012,0.05889315305208261,0.04396337500543328,0.0603053473832836,0.004183781448507866,-3.9992641994372806,-3.9992641994373974,-3.9992641994371794,4.8482436537101654e-14,64,64,59,57344,1.0
plt00009043,9043,0.05707881742216414,0.04159365202295316,0.05861628223256197,0.00435111924524003,-3.5029850239188383,-3.502985023918855,-3.502985023918825,7.94566072274478e-15,64,64,59,57344,1.0
plt00009077,9077,0.05512966534889442,0.03904679528102288,0.05680805396680457,0.004538934835121311,-3.0064668295038626,-3.00646682950388,-3.006466829503842,9.260052057085952e-15,64,64,59,57344,1.0
plt00009115,9115,0.05301640658793869,0.036288447336585365,0.05485579138039301,0.00475097841252837,-2.509656216916901,-2.5096562169169685,-2.5096562169168544,2.323305819106831e-14,64,64,59,57344,1.0
plt00009158,9158,0.05069759240936316,0.033272099536941206,0.05272466679621766,0.004992331751743179,-2.0124772429183206,-2.012477242918335,-2.01247724291831,4.556988811963546e-15,64,64,59,57344,1.0
plt00009207,9207,0.04811126075395707,0.029931963078557406,0.05036333364606507,0.0052702679549470445,-1.5148152509377348,-1.514815250937737,-1.514815250937732,9.506031400676578e-16,64,64,59,57344,1.0
plt00009266,9266,0.04515787240157793,0.02616943668468536,0.04769095272445637,0.005596101132015602,-1.016482048205289,-1.0164820482052968,-1.0164820482052819,3.215217188541534e-15,64,64,59,57344,1.0
plt00009340,9340,0.04166070331086859,0.021824391957640476,0.044568626371045375,0.00599002943930654,-0.5171296577465083,-0.5171296577465104,-0.517129657746506,1.0708401789661051e-15,64,64,59,57344,1.0
plt00009446,9446,0.0372605845740266,0.016609100460626063,0.04073227938658301,0.0064979726820074074,-0.015989287284820193,-0.015989287284821185,-0.015989287284818812,5.755432062343449e-16,64,64,59,57344,1.0
plt00009572,9572,0.032915751101344246,0.01183367078761817,0.03710837125815162,0.007034478846841308,0.4872027157822154,0.48720271578221347,0.4872027157822177,8.235096123709518e-16,64,64,59,57344,1.0
plt00009713,9713,0.03089317836733065,0.009761175452919166,0.03551189848615217,0.00731458903212217,0.9893839784356606,0.9893839784356542,0.9893839784356663,2.6906092373210164e-15,64,64,59,57344,1.0
plt00009911,9911,0.02831748898924539,0.007271890930032182,0.03361020779931287,0.007729640265731143,1.4928231748249812,1.4928231748226322,1.4928231748273852,1.1606631899480697e-12,64,64,59,57344,1.0
plt00010046,10046,-0.05097802758596438,-0.0529817456157415,-0.033636000040116576,0.004962722112717973,2.043163953604703,2.0431639536046036,2.043163953604785,4.036626488250745e-14,64,64,59,57344,1.0
plt00010084,10084,-0.0532926266590868,-0.05511045948880971,-0.03664858280689444,0.004722818359394518,2.54026421814488,2.5402642181448543,2.5402642181449018,8.548176579482154e-15,64,64,59,57344,1.0
plt00010118,10118,-0.05540269855300005,-0.05706093600127799,-0.03940345413679911,0.00451216792586353,3.0370016195485343,3.0370016195484055,3.0370016195486627,4.13989646283879e-14,64,64,59,57344,1.0
plt00010149,10149,-0.05734928156538077,-0.058867730933742285,-0.04194699804310591,0.004325709938434734,3.533450945932056,3.53345094593202,3.533450945932078,1.2784207281824569e-14,64,64,59,57344,1.0
