folder,gpu,status,return_code,started_at,ended_at,elapsed_seconds,Ec,Pr,rp,alpha,beta,gamma
MFIS_t_6_epr_maximin_2,1,simulation_ok,0,2026-08-07T17:29:41.485180+00:00,2026-08-07T18:03:26.506507+00:00,2025.021,5.020579003842e+07,8.795121627236e-01,1.506459043438e+00,-1.094974758049e+08,1.176276119994e+07,1.677875694952e+08
MFIS_t_6_epr_maximin_3,1,simulation_ok,0,2026-08-07T18:03:26.590302+00:00,2026-08-07T18:37:41.612587+00:00,2055.022,5.322032959336e+07,8.337690028225e-01,1.679627682444e+00,-1.579277549664e+08,1.940823725149e+08,4.760843764233e+07
MFIS_t_6_epr_maximin_1,0,simulation_ok,0,2026-08-07T17:29:41.484161+00:00,2026-08-07T20:53:56.781698+00:00,12255.298,5.773982553581e+07,2.191850950430e-02,1.496092225535e+00,-4.932829866750e+09,5.958009916076e+10,2.124832309794e+16
MFIS_t_6_epr_maximin_4,1,simulation_ok,0,2026-08-07T18:37:41.696242+00:00,2026-08-07T22:48:42.000411+00:00,15060.304,1.125267209238e+08,1.194316782279e-01,1.593846709646e+00,-2.107086873545e+09,8.191132704292e+10,4.613740938624e+12
MFIS_t_6_epr_maximin_6,1,simulation_ok,0,2026-08-07T22:48:42.162742+00:00,2026-08-07T23:28:27.188078+00:00,2385.025,2.089090107921e+08,8.629780770787e-01,1.589472898892e+00,-5.380635366373e+08,3.873486902936e+08,4.500214023735e+08
MFIS_t_6_epr_maximin_7,1,simulation_ok,0,2026-08-07T23:28:27.275479+00:00,2026-08-08T02:07:42.375178+00:00,9555.100,5.396357889865e+07,2.040179052920e-02,1.625038052572e+00,-6.160638452981e+09,9.995885976444e+12,1.154413141365e+16
MFIS_t_6_epr_maximin_8,1,simulation_ok,0,2026-08-08T02:07:42.507165+00:00,2026-08-08T02:52:57.536432+00:00,2715.029,5.131480143416e+07,1.274341574527e-01,1.499193172715e+00,-7.596182543195e+08,1.385416950020e+09,2.795082841609e+12
MFIS_t_6_epr_maximin_5,0,simulation_ok,0,2026-08-07T20:53:56.928727+00:00,2026-08-08T07:07:57.786717+00:00,36840.858,3.296494235167e+08,2.407620357234e-01,1.498320667231e+00,-2.577552559288e+09,1.021815697625e+09,7.494784806341e+11
MFIS_t_6_epr_maximin_9,1,simulation_ok,0,2026-08-08T02:52:57.627686+00:00,2026-08-08T07:36:13.054203+00:00,16995.427,9.452055061763e+08,8.389763592454e-01,1.499417446709e+00,-2.126397227150e+09,9.460657373647e+07,4.157452578743e+09
MFIS_t_6_epr_maximin_10,0,simulation_ok,0,2026-08-08T07:07:58.035958+00:00,2026-08-08T07:45:58.175686+00:00,2280.140,5.000522209646e+07,1.515502836523e-01,1.701555583526e+00,-8.339798484465e+08,3.332472729069e+10,1.300357152112e+11
