folder,gpu,status,return_code,started_at,ended_at,elapsed_seconds,Ec,Pr,rp,alpha,beta,gamma
MFIS_t_5_nomi_3.5_oat_1,0,simulation_ok,0,2026-08-12T00:51:38.548301+08:00,2026-08-12T02:07:38.577601+08:00,4560.029,1.099997795945e+08,3.293298591363e-02,1.524764785583e+00,-6.660000000000e+09,1.260000000000e+12,4.500000000000e+15
MFIS_t_5_nomi_3.5_oat_2,0,simulation_ok,0,2026-08-12T02:07:38.621545+08:00,2026-08-12T02:25:38.626782+08:00,1080.005,1.344441750599e+08,3.293298591363e-02,1.524764785583e+00,-8.140000000000e+09,1.540000000000e+12,5.500000000000e+15
MFIS_t_5_nomi_3.5_oat_3,0,simulation_ok,0,2026-08-12T02:25:38.660497+08:00,2026-08-12T02:39:38.665010+08:00,840.005,1.222219773272e+08,2.963968732227e-02,1.524764785583e+00,-8.222222222222e+09,1.920438957476e+12,8.467543904215e+15
MFIS_t_5_nomi_3.5_oat_4,0,simulation_ok,0,2026-08-12T02:39:38.698137+08:00,2026-08-12T03:17:23.707283+08:00,2265.009,1.222219773272e+08,3.622628450499e-02,1.524764785583e+00,-6.727272727273e+09,1.051840721262e+12,3.104606615296e+15
MFIS_t_5_nomi_3.5_oat_5,0,simulation_ok,0,2026-08-12T03:17:23.743208+08:00,2026-08-12T04:12:38.756360+08:00,3315.013,1.222219773272e+08,3.293298591363e-02,1.504764785583e+00,-7.091702812665e+09,4.636324922064e+11,5.601257695151e+15
MFIS_t_5_nomi_3.5_oat_6,0,simulation_ok,0,2026-08-12T04:12:38.795743+08:00,2026-08-12T04:43:38.803365+08:00,1860.008,1.222219773272e+08,3.293298591363e-02,1.544764785583e+00,-7.684107004996e+09,2.278880258569e+12,4.431182049313e+15
MFM_t_8_scr_1,0,simulation_ok,0,2026-08-14T18:22:11.600486+08:00,2026-08-14T19:34:41.623722+08:00,4350.023,3.124999999999e+08,4.600000000000e-01,1.613700000000e+00,-1.560037416668e+09,4.669231667990e+09,1.277573684078e+10
MFM_t_8_scr_2,0,simulation_failed,143,2026-08-14T19:34:41.706641+08:00,2026-08-14T20:57:11.730205+08:00,4950.024,6.249999999999e+07,2.000000000000e-02,1.495400000000e+00,-5.841929963884e+09,5.855700348575e+09,3.649742302341e+16
MFM_t_8_scr_3,0,simulation_failed,143,2026-08-14T20:57:11.820783+08:00,2026-08-14T21:26:26.828972+08:00,1755.008,6.250000000001e+07,2.000000000000e-02,1.732000000000e+00,-8.118630904040e+09,2.029389791540e+13,6.698361737853e+12
MFM_t_8_scr_4,0,simulation_failed,143,2026-08-14T21:26:26.881552+08:00,2026-08-14T22:42:11.899359+08:00,4545.018,6.250000000000e+07,9.000000000000e-01,1.495400000000e+00,-1.298206658641e+08,6.426008612977e+04,1.977878603785e+08
MFM_t_8_scr_1,0,simulation_ok,0,2026-08-14T22:50:56.231446+08:00,2026-08-15T00:03:11.248952+08:00,4335.018,3.124999999999e+08,4.600000000000e-01,1.613700000000e+00,-1.560037416668e+09,4.669231667990e+09,1.277573684078e+10
MFM_t_8_scr_2,0,simulation_failed,143,2026-08-15T00:03:26.350255+08:00,2026-08-15T00:42:56.360954+08:00,2370.011,6.249999999999e+07,2.000000000000e-02,1.495400000000e+00,-5.841929963884e+09,5.855700348575e+09,3.649742302341e+16
MFM_t_8_scr_3,0,simulation_failed,143,2026-08-15T00:42:56.418768+08:00,2026-08-15T00:50:56.421559+08:00,480.003,6.250000000001e+07,2.000000000000e-02,1.732000000000e+00,-8.118630904040e+09,2.029389791540e+13,6.698361737853e+12
MFM_t_8_scr_4,0,simulation_ok,0,2026-08-15T00:50:56.452006+08:00,2026-08-15T03:15:41.486394+08:00,8685.034,6.250000000000e+07,9.000000000000e-01,1.495400000000e+00,-1.298206658641e+08,6.426008612977e+04,1.977878603785e+08
MFM_t_8_scr_5,0,simulation_ok,0,2026-08-15T03:15:41.622544+08:00,2026-08-15T05:37:41.662425+08:00,8520.040,6.250000000001e+07,9.000000000001e-01,1.732000000000e+00,-1.804140200898e+08,2.227039551759e+08,3.629995014502e+04
MFM_t_8_scr_6,0,simulation_ok,0,2026-08-15T05:37:41.789630+08:00,2026-08-15T05:37:56.790369+08:00,15.001,5.625000000000e+08,2.000000000000e-02,1.495400000000e+00,-5.257736967496e+10,5.270130313718e+10,3.284768072106e+17
MFM_t_8_scr_7,0,simulation_ok,0,2026-08-15T05:37:56.822498+08:00,2026-08-15T08:10:41.862813+08:00,9165.040,5.625000000001e+08,2.000000000000e-02,1.732000000000e+00,-7.306767813636e+10,1.826450812386e+14,6.028525564068e+13
MFM_t_8_scr_8,0,simulation_ok,0,2026-08-15T08:10:41.997705+08:00,2026-08-15T10:41:57.031085+08:00,9075.033,5.625000000001e+08,9.000000000001e-01,1.495400000000e+00,-1.168385992777e+09,5.783407751679e+05,1.780090743406e+09
MFM_t_8_scr_9,0,simulation_ok,0,2026-08-15T10:41:57.165559+08:00,2026-08-15T13:13:27.199267+08:00,9090.034,5.625000000000e+08,9.000000000000e-01,1.732000000000e+00,-1.623726180808e+09,2.004335596583e+09,3.266995513051e+05
MFM_t_8_scr_10,0,simulation_ok,0,2026-08-15T13:13:27.325333+08:00,2026-08-15T15:42:27.362799+08:00,8940.037,6.250000000001e+07,4.600000000000e-01,1.613700000000e+00,-3.120074833337e+08,9.338463335980e+08,2.555147368155e+09
