plotfile,step,P_mean,P_min,P_max,P_std,Vg_mean,Vg_min,Vg_max,Vg_std,Nx,Ny,Nz,num_FE_cells,sweep_direction
plt00012347,12347,0.07362904165140417,0.05538709323565061,0.07688785111883023,0.005841152157682554,-4.488036019550401,-4.488036019550513,-4.48803601955029,4.851293519226257e-14,64,64,59,45056,0.0
plt00012371,12371,0.07156512539708307,0.05270766869617121,0.07429388829127362,0.006031142528526992,-3.9938066316875385,-3.993806631687605,-3.993806631687482,2.7673297158932567e-14,64,64,59,45056,1.0
plt00012397,12397,0.06936380750566419,0.049846755165873495,0.07173333687444622,0.006243136588162734,-3.499357991037195,-3.4993579910372308,-3.499357991037157,1.825852817566531e-14,64,64,59,45056,1.0
plt00012426,12426,0.06699902089290245,0.046773145619066044,0.06958562793826342,0.006480579687042594,-3.0046474032800603,-3.0046474032800803,-3.004647403280043,8.864593798866943e-15,64,64,59,45056,1.0
plt00012458,12458,0.06443548999684288,0.04344612219888051,0.06726989345218662,0.006747879848219686,-2.5096168318993795,-2.5096168318993963,-2.509616831899364,7.965221566283143e-15,64,64,59,45056,1.0
plt00012494,12494,0.061623442348655265,0.03981080363291134,0.0647463264877637,0.007050856796807724,-2.014183923083412,-2.0141839230834653,-2.014183923083354,2.5475022306178225e-14,64,64,59,45056,1.0
plt00012535,12535,0.058488650220611366,0.03578989237101767,0.06195653143778106,0.0073975691674021534,-1.5182248012378143,-1.51822480123787,-1.51822480123778,2.0777157257108085e-14,64,64,59,45056,1.0
plt00012585,12585,0.05491188031033109,0.03126769559864641,0.05880883830147156,0.007800110001356793,-1.0215367222435177,-1.021536722243521,-1.0215367222435137,1.707137133286827e-15,64,64,59,45056,1.0
plt00012648,12648,0.05068355061872388,0.026059157942360085,0.05514962208649222,0.00827899467924984,-0.5237431217376919,-0.5237431217377023,-0.5237431217376799,6.019169504243774e-15,64,64,59,45056,1.0
plt00012737,12737,0.045409260887140764,0.01986856173608243,0.05071293860546098,0.008875735521750215,-0.024013553609197186,-0.024013553609197436,-0.02401355360919697,1.0111276668460713e-16,64,64,59,45056,1.0
plt00012835,12835,0.04097649988194689,0.015019893360939812,0.047146890247290955,0.00938800361617298,0.4778222241292309,0.4778222241292169,0.47782222412924974,6.558803875370384e-15,64,64,59,45056,1.0
plt00012935,12935,0.039246479152918796,0.013232118340925468,0.04581282363414902,0.0095982086583771,0.9790456971462398,0.9790456971462315,0.979045697146249,3.6876026844462186e-15,64,64,59,45056,1.0
plt00013069,13069,0.03702162654382983,0.011027992606114008,0.04416066631030448,0.009886089035112077,1.4810433661596862,1.4810433661596738,1.4810433661597115,8.358761063846731e-15,64,64,59,45056,1.0
plt00013190,13190,-0.06201594393957273,-0.06509744805875815,-0.04031688717444602,0.007008059058931326,2.0445917128230064,2.0445917128229274,2.0445917128230966,3.409275098347459e-14,64,64,59,45056,1.0
