folder,gpu,status,return_code,started_at,ended_at,elapsed_seconds,alpha,beta,gamma
MFIS_t_6_nomi_2_var_1,0,simulation_ok,0,2026-07-18T11:24:25.406119+08:00,2026-07-18T11:44:25.412366+08:00,1200.006,-7.606024590696e+09,1.634075698500e+12,9.484518640167e+10
MFIS_t_6_nomi_2_var_2,0,simulation_ok,0,2026-07-18T11:44:25.444320+08:00,2026-07-18T12:20:55.454797+08:00,2190.010,-6.746638083631e+09,1.276084383917e+12,1.085262686430e+11
MFIS_t_6_nomi_2_var_3,0,simulation_ok,0,2026-07-18T12:20:55.485511+08:00,2026-07-18T12:49:55.493173+08:00,1740.008,-8.569436203549e+09,1.568407064656e+12,8.048766220060e+10
MFIS_t_6_nomi_2_var_4,0,simulation_ok,0,2026-07-18T12:49:55.523922+08:00,2026-07-18T13:11:40.530107+08:00,1305.006,-8.766952191603e+09,1.550932829008e+12,8.232058155968e+10
MFIS_t_6_nomi_2_var_5,0,simulation_ok,0,2026-07-18T13:11:40.558723+08:00,2026-07-18T13:34:40.565069+08:00,1380.006,-7.999175353178e+09,1.441077865606e+12,2.342515441727e+11
MFIS_t_6_nomi_2_var_6,0,simulation_ok,0,2026-07-18T13:34:40.613669+08:00,2026-07-18T14:00:10.622791+08:00,1530.009,-7.984551551890e+09,1.150452666478e+12,5.652524817477e+10
MFIS_t_6_nomi_2_var_7,0,simulation_ok,0,2026-07-18T14:00:10.657914+08:00,2026-07-18T14:22:40.664544+08:00,1350.007,-8.448385245792e+09,1.869569181095e+12,2.200807176759e+11
MFIS_t_6_nomi_2_var_8,0,simulation_ok,0,2026-07-18T14:22:40.700207+08:00,2026-07-18T14:44:55.707284+08:00,1335.007,-7.756662200399e+09,1.844106980312e+12,7.220640800818e+10
MFIS_t_6_nomi_2_var_9,0,simulation_ok,0,2026-07-18T14:44:55.741819+08:00,2026-07-18T15:48:55.759828+08:00,3840.018,-6.690059311254e+09,1.237112519466e+12,1.504508701872e+11
MFIS_t_6_nomi_2_var_10,0,simulation_ok,0,2026-07-18T15:48:55.795621+08:00,2026-07-18T16:24:55.805499+08:00,2160.010,-7.201185911591e+09,1.099288751954e+12,2.429066538167e+11
