folder,gpu,status,return_code,started_at,ended_at,elapsed_seconds,alpha,beta,gamma
MFIS_t_8_nomi_27_var_2,1,simulation_ok,0,2026-07-13T12:21:37.119444+00:00,2026-07-13T13:31:07.163662+00:00,4170.044,-8.295676796639e+09,1.833210415321e+12,1.942093569778e+09
MFIS_t_8_nomi_27_var_1,0,simulation_ok,0,2026-07-13T12:21:37.118651+00:00,2026-07-13T13:46:52.275831+00:00,5115.157,-8.110130133208e+09,1.420356485513e+12,1.008408023583e+10
MFIS_t_8_nomi_27_var_4,0,simulation_ok,0,2026-07-13T13:46:52.385102+00:00,2026-07-13T14:45:52.424076+00:00,3540.039,-7.994265179417e+09,1.759410952360e+12,3.582371908979e+09
MFIS_t_8_nomi_27_var_3,1,simulation_ok,0,2026-07-13T13:31:07.264663+00:00,2026-07-13T15:10:37.536498+00:00,5970.272,-7.856625361328e+09,1.922532176431e+12,3.947092979471e+09
MFIS_t_8_nomi_27_var_5,0,simulation_ok,0,2026-07-13T14:45:52.519490+00:00,2026-07-13T15:54:22.677500+00:00,4110.158,-8.133897230723e+09,1.125158613353e+12,2.807247913163e+09
MFIS_t_8_nomi_27_var_6,1,simulation_ok,0,2026-07-13T15:10:37.648568+00:00,2026-07-13T16:33:07.805946+00:00,4950.157,-8.612812374431e+09,1.668593251705e+12,5.906431396130e+09
MFIS_t_8_nomi_27_var_7,0,simulation_ok,0,2026-07-13T15:54:22.780469+00:00,2026-07-13T17:06:37.935499+00:00,4335.155,-7.957511868187e+09,1.618760535970e+12,6.420074574477e+09
MFIS_t_8_nomi_27_var_8,1,simulation_ok,0,2026-07-13T16:33:07.912416+00:00,2026-07-13T17:52:53.088786+00:00,4785.176,-7.826219122934e+09,1.250155255774e+12,6.587252985154e+09
MFIS_t_8_nomi_27_var_9,0,simulation_ok,0,2026-07-13T17:06:38.057816+00:00,2026-07-13T18:13:53.228550+00:00,4035.171,-8.519906488709e+09,1.394917334996e+12,3.048134440304e+09
MFIS_t_8_nomi_27_var_10,1,simulation_ok,0,2026-07-13T17:52:53.213980+00:00,2026-07-13T18:43:23.294516+00:00,3030.081,-7.680590763760e+09,1.176448165767e+12,4.321275268827e+09
