folder,design,seed,Ec,Pr,Pc0,rp,transition_order,alpha,beta,gamma,alpha_change_percent,beta_change_percent,gamma_change_percent
MFM_t_7_mxi_174,f_thickness,20260712,1.404522654805e+08,4.077297581494e-02,2.664974385322e-02,1.529957512519e+00,second_order,-6.939107512196e+09,9.890805042544e+11,1.915852038026e+15,-62.47413310767118,-95.3756828728384,-96.52405103934109
MFM_t_7_mxi_175,f_thickness,20260712,4.751675354381e+08,7.175343951720e-02,4.245131079897e-02,1.690252625107e+00,second_order,-1.655768745985e+10,2.847925162983e+12,7.148828689187e+13,-10.45799844273072,-86.68489667786494,-99.87029810674883
MFM_t_7_mxi_176,f_thickness,20260712,6.985351005417e+07,2.270876250401e-02,1.356377103844e-02,1.674221898884e+00,second_order,-7.568982200363e+09,1.230024229206e+13,4.609775849091e+15,-59.06784581993874,-42.49181855799631,-91.63643890369107
MFM_t_7_mxi_177,f_thickness,20260712,2.779582481290e+08,7.681025487556e-02,4.598186754898e-02,1.670446612325e+00,second_order,-8.869790145715e+09,1.242565750830e+12,4.421080588784e+13,-52.033231393808464,-94.1905456042538,-99.91978790547203
MFM_t_7_mxi_178,f_thickness,20260712,4.691680115141e+08,4.874541264810e-02,2.871276037083e-02,1.697691619285e+00,second_order,-2.423829951916e+10,9.250677680436e+12,3.998678143866e+14,31.077836718017473,-56.74966087038666,-99.27451594056807
MFM_t_7_mxi_179,f_thickness,20260712,4.421913305293e+08,4.350985605322e-02,2.632768667483e-02,1.652627387685e+00,second_order,-2.444024647315e+10,9.942045110067e+12,1.567832281293e+15,32.16994179081261,-53.517262463732806,-97.15546666418821
MFM_t_7_mxi_180,f_thickness,20260712,1.388871108749e+08,3.686398186590e-02,2.136262672520e-02,1.725629640030e+00,second_order,-9.733658409287e+09,7.042222903938e+12,8.859186179498e+13,-47.361534721817996,-67.07500365451133,-99.83926692468047
MFM_t_7_mxi_181,f_thickness,20260712,5.559263959772e+08,6.932147218579e-02,4.162671432069e-02,1.665312127490e+00,second_order,-1.955106813219e+10,3.297895615923e+12,1.603611506811e+14,5.729847684580824,-84.5811184077476,-99.70905520678185
MFM_t_7_mxi_182,f_thickness,20260712,1.456715218097e+08,1.496265877986e-01,9.296618376722e-02,1.609473270122e+00,second_order,-2.223524971557e+09,6.129146276108e+10,1.698478674641e+12,-87.97544180317631,-99.71343974552556,-99.99691843364381
MFM_t_7_mxi_183,f_thickness,20260712,2.349639051802e+08,1.294868195254e-01,7.616643145273e-02,1.700051020583e+00,second_order,-4.579897671271e+09,2.495306273161e+11,1.408824961175e+12,-75.23245891628896,-98.83335203890297,-99.99744395518947
