folder,design,seed,Ec,Pr,Pc0,rp,transition_order,alpha,beta,gamma,alpha_change_percent,beta_change_percent,gamma_change_percent
MFM_t_8_mxi_1,maximin,20260712,6.730958558032e+07,2.295377473134e-02,1.531877874181e-02,1.498407615790e+00,second_order,-5.521479789317e+09,2.477732312390e+11,1.941992554071e+16,-63.666347271584776,-81.39970898232795,18092.591504877393
MFM_t_8_mxi_2,maximin,20260712,5.596262449855e+08,2.418655305115e-02,1.397604316180e-02,1.730572292254e+00,second_order,-6.003697817313e+10,1.022342771804e+14,6.750628508365e+14,295.0684959540133,7574.7084341106,532.3990614506456
MFM_t_8_mxi_3,maximin,20260712,5.494519689438e+08,2.178467440365e-02,1.448811754780e-02,1.503623526782e+00,second_order,-4.807090442711e+10,6.341019862580e+12,2.000795213396e+17,216.32671212068382,376.0191978892921,187334.54976654166
MFM_t_8_mxi_4,maximin,20260712,5.367149577707e+08,1.457085805473e-01,8.444847754645e-02,1.725413942095e+00,second_order,-9.514641767259e+09,4.403610532577e+11,3.668078436089e+11,-37.38966672019164,-66.94217651163056,-99.65637431278648
MFM_t_8_mxi_5,maximin,20260712,6.813512747863e+07,2.068103013174e-02,1.207364124283e-02,1.712907458140e+00,second_order,-8.415196346032e+09,1.867394499937e+13,2.341075167590e+15,-44.62447870048677,1301.8496255604052,2093.119850892082
MFM_t_8_mxi_6,maximin,20260712,5.580395980160e+08,1.129124598617e-01,7.043494853859e-02,1.603074357324e+00,second_order,-1.119270862183e+10,5.197460708486e+11,2.809323145074e+13,-26.347283034026113,-60.98275780344311,-73.68225317013233
MFM_t_8_mxi_7,maximin,20260712,7.517727869569e+07,1.171300057246e-01,7.278052179206e-02,1.609359246685e+00,second_order,-1.465649541598e+09,6.588079225006e+10,2.984768725842e+12,-90.35541132125199,-95.05434101093876,-97.20386784944431
MFM_t_8_mxi_8,maximin,20260712,5.439160634677e+08,4.688080112686e-02,2.897775373481e-02,1.617820399603e+00,second_order,-2.678227529191e+10,7.906582149666e+12,1.947080724430e+15,76.23860393654438,493.5456715946095,1724.0257498577762
MFM_t_8_mxi_9,maximin,20260712,8.158382737056e+07,4.926848571481e-02,3.062113447047e-02,1.608969966881e+00,second_order,-3.779430617261e+09,9.578334327182e+11,2.468353849582e+14,-75.12976144105609,-28.095619910493152,131.23545546454824
MFM_t_8_mxi_10,maximin,20260712,6.478218048330e+07,8.396606570410e-02,4.892445329327e-02,1.716239222966e+00,second_order,-1.976652897584e+09,2.686280861837e+11,1.664648750087e+12,-86.99279492349339,-79.83413884723701,-98.44055660018095
MFM_t_8_mxi_11,maximin,20260712,6.696301233958e+07,8.764124197291e-02,5.811406072276e-02,1.508090140027e+00,second_order,-1.470953793930e+09,1.813190694329e+10,2.257182696581e+13,-90.32050711629816,-98.63884107187823,-78.85470638664745
MFM_t_8_mxi_12,maximin,20260712,3.073613803965e+08,1.476933509700e-01,9.871369931771e-02,1.496178868697e+00,second_order,-3.897719534287e+09,1.157262948403e+09,8.138510600864e+12,-74.35137075652283,-99.91312448275131,-92.37584106544314
MFM_t_8_mxi_13,maximin,20260712,3.057126856671e+08,2.001060435070e-02,1.334727417666e-02,1.499227788824e+00,second_order,-2.882220877856e+10,2.150770962392e+12,1.743860296872e+17,89.6622218290541,61.457981610052734,163264.8798295373
MFM_t_8_mxi_14,maximin,20260712,3.202606329012e+08,2.203018577017e-02,1.276064278873e-02,1.726416618261e+00,second_order,-3.758395803353e+10,7.629909764964e+13,2.351093746622e+15,147.3182066140513,5627.759264277212,2102.5052584419936
MFM_t_8_mxi_15,maximin,20260712,5.545309356270e+08,8.280634198235e-02,5.537311324355e-02,1.495425074226e+00,second_order,-1.251972644365e+10,1.090333543539e+09,2.661221471677e+14,-17.614949213713416,-99.91814886089695,149.30329952469143
MFM_t_8_mxi_16,maximin,20260712,5.438387530078e+08,8.196053207553e-02,4.804431091829e-02,1.705936259860e+00,second_order,-1.684002912699e+10,2.331304466284e+12,2.613671214488e+13,10.814454382370965,75.01059863021887,-75.51512098562941
MFM_t_8_mxi_17,maximin,20260712,3.013865643105e+08,1.439430257110e-01,8.330938411124e-02,1.727812865821e+00,second_order,-5.419788768595e+09,2.586835853370e+11,1.396913900053e+11,-64.33551683726171,-80.58067070158283,-99.86913706801874
MFM_t_8_mxi_18,maximin,20260712,4.168879717938e+08,1.187737676343e-01,7.118568592275e-02,1.668506330938e+00,second_order,-8.585690481897e+09,4.993717215212e+11,7.742948278801e+12,-43.50255578106656,-62.512256469987115,-92.74640395585831
MFM_t_8_mxi_19,maximin,20260712,4.145026976683e+08,5.135216535245e-02,3.309658318324e-02,1.551585100738e+00,second_order,-1.691270027837e+10,2.296289381540e+12,1.561298987128e+15,11.292661036812369,72.38202264164235,1362.625313895002
MFM_t_8_mxi_20,maximin,20260712,2.066205554754e+08,1.145256099608e-01,7.407256359658e-02,1.546127262242e+00,second_order,-3.744503511521e+09,9.393932185915e+10,1.460412887723e+13,-75.35959644529193,-92.94799234023178,-86.31884811344568
MFM_t_8_mxi_21,maximin,20260712,4.192921466852e+08,1.153586983382e-01,7.482936871581e-02,1.541623300022e+00,second_order,-7.483321923592e+09,1.711545999589e+11,2.939506384885e+13,-50.756603229301845,-87.15145557762864,-72.46269622708526
MFM_t_8_mxi_22,maximin,20260712,1.984257894843e+08,1.113187857865e-01,6.620213119760e-02,1.681498522370e+00,second_order,-4.418469173694e+09,3.066036292021e+11,4.031533594350e+12,-70.92461972625203,-76.9833217990668,-96.22325823719311
MFM_t_8_mxi_23,maximin,20260712,2.120904007092e+08,5.583069263496e-02,3.345316662437e-02,1.668921010135e+00,second_order,-9.296344519833e+09,2.450946125280e+12,1.704987355805e+14,-38.82615416236091,83.99207602402218,59.72326165781672
