folder,design,seed,Ec,Pr,Pc0,rp,transition_order,alpha,beta,gamma,alpha_change_percent,beta_change_percent,gamma_change_percent
MFIS_t_6_epr_maximin_1,maximin,20260807,5.773982553581e+07,2.191850950430e-02,1.465050692077e-02,1.496092225535e+00,second_order,-4.932829866750e+09,5.958009916076e+10,2.124832309794e+16,-38.339626665625005,-95.99057206186002,348333065.54
MFIS_t_6_epr_maximin_2,maximin,20260807,5.020579003842e+07,8.795121627236e-01,5.838274638495e-01,1.506459043438e+00,second_order,-1.094974758049e+08,1.176276119994e+07,1.677875694952e+08,-98.63128155243875,-99.99920842791387,-97.24938410663606
MFIS_t_6_epr_maximin_3,maximin,20260807,5.322032959336e+07,8.337690028225e-01,4.964010843220e-01,1.679627682444e+00,second_order,-1.579277549664e+08,1.940823725149e+08,4.760843764233e+07,-98.02590306292001,-99.98693927506629,-99.21953380914213
MFIS_t_6_epr_maximin_4,maximin,20260807,1.125267209238e+08,1.194316782279e-01,7.493297661886e-02,1.593846709646e+00,second_order,-2.107086873545e+09,8.191132704292e+10,4.613740938624e+12,-73.66141408068749,-94.48779764179542,75535.09735449181
MFIS_t_6_epr_maximin_5,maximin,20260807,3.296494235167e+08,2.407620357234e-01,1.606879228118e-01,1.498320667231e+00,second_order,-2.577552559288e+09,1.021815697625e+09,7.494784806341e+11,-67.7805930089,-99.93123716705081,12186.532469411475
MFIS_t_6_epr_maximin_6,maximin,20260807,2.089090107921e+08,8.629780770787e-01,5.429334955507e-01,1.589472898892e+00,second_order,-5.380635366373e+08,3.873486902936e+08,4.500214023735e+08,-93.27420579203375,-99.97393346633287,-92.62259996109017
MFIS_t_6_epr_maximin_7,maximin,20260807,5.396357889865e+07,2.040179052920e-02,1.255465402605e-02,1.625038052572e+00,second_order,-6.160638452981e+09,9.995885976444e+12,1.154413141365e+16,-22.992019337737503,572.6706579033648,189247955.9614754
MFIS_t_6_epr_maximin_8,maximin,20260807,5.131480143416e+07,1.274341574527e-01,8.500182616359e-02,1.499193172715e+00,second_order,-7.596182543195e+08,1.385416950020e+09,2.795082841609e+12,-90.50477182100624,-99.90676871130417,45721.03019031148
MFIS_t_6_epr_maximin_9,maximin,20260807,9.452055061763e+08,8.389763592454e-01,5.595348787535e-01,1.499417446709e+00,second_order,-2.126397227150e+09,9.460657373647e+07,4.157452578743e+09,-73.420034660625,-99.99363347417655,-31.845039692737707
MFIS_t_6_epr_maximin_10,maximin,20260807,5.000522209646e+07,1.515502836523e-01,8.906572616231e-02,1.701555583526e+00,second_order,-8.339798484465e+08,3.332472729069e+10,1.300357152112e+11,-89.57525189441876,-97.75742077451615,2031.7330362491803
