folder,design,seed,Ec,Pr,Pc0,rp,transition_order,alpha,beta,gamma,alpha_change_percent,beta_change_percent,gamma_change_percent
MFM_t_8_mxi_931,maximin,20260712,5.504746199642e+08,2.186487489673e-02,1.393513183019e-02,1.569046863939e+00,second_order,-5.428104057914e+10,5.049469596312e+13,1.318767575611e+17,193.54540190792937,136.08137696445235,139.26528212057684
MFM_t_8_mxi_932,maximin,20260712,8.743589803968e+07,1.497221834633e-01,9.078150811707e-02,1.649258605290e+00,second_order,-1.399152626193e+09,4.737598113149e+10,6.709080846988e+11,-92.43354925395083,-99.77849976819876,-99.99878276494562
MFM_t_8_mxi_933,maximin,20260712,7.924637196546e+07,1.452493425750e-01,9.149800946730e-02,1.587459043324e+00,second_order,-1.209188355408e+09,3.023550430085e+10,1.283531481848e+12,-93.46085340325926,-99.85863783606554,-99.99767127636594
MFM_t_8_mxi_934,maximin,20260712,7.817535322244e+07,1.041884468146e-01,6.766382162137e-02,1.539795481810e+00,second_order,-1.539694324541e+09,4.172102552714e+10,9.223006845395e+12,-91.67351648954136,-99.8049387768963,-99.98326660910023
MFM_t_8_mxi_935,maximin,20260712,3.942577986479e+08,2.070845435576e-02,1.381072186714e-02,1.499447643286e+00,second_order,-3.593613199848e+10,2.643438280514e+12,1.892430538528e+17,94.33832140948513,-87.64094847426963,243.34551066340327
MFM_t_8_mxi_936,maximin,20260712,2.175598715519e+08,1.464679631721e-01,8.811495901229e-02,1.662237204828e+00,second_order,-3.609451915163e+09,1.347573571114e+11,1.561236414556e+12,-80.48051397321508,-99.36995952117059,-99.99716743360926
MFM_t_8_mxi_937,maximin,20260712,1.047289597379e+08,1.414147718843e-01,8.387605657983e-02,1.685996906039e+00,second_order,-1.843977562227e+09,8.051178208183e+10,5.848385517752e+11,-90.02798898403682,-99.62357764487535,-99.99893892173516
MFM_t_8_mxi_938,maximin,20260712,1.489472572305e+08,1.326041966140e-01,8.707972290148e-02,1.522790750770e+00,second_order,-2.230829529924e+09,2.446089111264e+10,5.823918154854e+12,-87.93593962159093,-99.88563628821792,-99.98943360872576
MFM_t_8_mxi_939,maximin,20260712,5.097238501313e+08,2.027676139904e-02,1.300738479942e-02,1.558865345473e+00,second_order,-5.332037932662e+10,5.125886697950e+13,1.907541705156e+17,188.35026028095166,139.65415906249845,246.08714430172222
MFM_t_8_mxi_940,maximin,20260712,4.631555572122e+08,2.038487640849e-02,1.350440647290e-02,1.509498136730e+00,second_order,-4.387751697927e+10,1.104065328754e+13,2.275337451264e+17,137.2843854683132,-48.38086296007674,312.8166837465383
MFM_t_8_mxi_941,maximin,20260712,5.622987512871e+08,3.473878459638e-02,2.137609838434e-02,1.625122787694e+00,second_order,-3.770428288670e+10,2.111012450845e+13,8.397119683547e+15,103.90027080431419,-1.3023612324375988,-84.76502419955794
MFM_t_8_mxi_942,maximin,20260712,6.434506282012e+07,1.366615867271e-01,8.321019264140e-02,1.642365945673e+00,second_order,-1.119311151831e+09,4.410984335262e+10,8.471679415549e+11,-93.94689861471583,-99.7937701701585,-99.99846297497537
MFM_t_8_mxi_943,maximin,20260712,1.487482524894e+08,1.372982360108e-01,8.073747031777e-02,1.700551620832e+00,second_order,-2.735726093928e+09,1.327795128732e+11,6.549132587454e+11,-85.20551914288987,-99.37920667440657,-99.99881178451369
MFM_t_8_mxi_944,maximin,20260712,7.082462652797e+07,7.083115424632e-02,4.350493452306e-02,1.628117707171e+00,second_order,-2.337633548103e+09,3.198365053411e+11,2.912091008541e+13,-87.35835621295995,-98.50464605946783,-99.9471656499898
MFM_t_8_mxi_945,maximin,20260712,4.778334628562e+08,1.128963583445e-01,6.726653955248e-02,1.678343483931e+00,second_order,-1.045828978906e+10,6.978496983442e+11,9.626255312417e+12,-43.44281453257559,-96.73729458991782,-99.98253499148989
MFM_t_8_mxi_946,maximin,20260712,5.034937371437e+08,2.450185922795e-02,1.448250579008e-02,1.691824576706e+00,second_order,-5.145813737478e+10,7.629408398810e+13,1.569232646046e+16,178.2794776214763,256.70305679842954,-71.52925968815549
MFM_t_8_mxi_947,maximin,20260712,3.435319762208e+08,8.386267322597e-02,5.466720872382e-02,1.534058079490e+00,second_order,-8.316709495324e+09,3.089408836529e+11,1.242145483611e+14,-55.024225672369084,-98.55558712014701,-99.77463633845161
MFM_t_8_mxi_948,maximin,20260712,5.224248467496e+08,6.148251307008e-02,3.642914796260e-02,1.687728550039e+00,second_order,-2.119317368227e+10,4.923753897907e+12,1.806191534473e+14,14.610158904309344,-76.97962968425504,-99.67230091560353
MFM_t_8_mxi_949,maximin,20260712,5.549407029588e+08,5.406576935976e-02,3.512899553502e-02,1.539063913907e+00,second_order,-2.103421619930e+10,2.086928037467e+12,1.747767781404e+15,13.750535770212057,-90.24283966239194,-96.8290079386799
MFM_t_8_mxi_950,maximin,20260712,2.918744706810e+08,8.729814751899e-02,5.090647536038e-02,1.714873145332e+00,second_order,-8.555250440182e+09,1.071455176008e+12,6.710265188435e+12,-53.73422465575726,-94.99055081958694,-99.98782550069393
MFM_t_8_mxi_951,maximin,20260712,5.301115198194e+08,8.306637622867e-02,4.805551387982e-02,1.728550368568e+00,second_order,-1.652994019969e+10,2.373759838275e+12,3.170385462297e+12,-10.608052320633742,-88.9017949209521,-99.9942479388628
MFM_t_8_mxi_952,maximin,20260712,8.254837375996e+07,8.465974819076e-02,5.404542983074e-02,1.566455266539e+00,second_order,-2.093710319016e+09,1.263131397164e+11,2.313401118150e+13,-88.67746398158552,-99.40943936023041,-99.95802773882004
MFM_t_8_mxi_953,maximin,20260712,1.829232691005e+08,3.211163085179e-02,2.045149308603e-02,1.570136259329e+00,second_order,-1.230276838238e+10,5.367217410794e+12,6.365489166965e+15,-33.46809400014047,-74.90627376520325,-88.45103117838097
MFM_t_8_mxi_954,maximin,20260712,2.912372341575e+08,6.508743747690e-02,4.105089878586e-02,1.585530144332e+00,second_order,-9.889464884908e+09,1.212087036733e+12,2.649270040497e+14,-46.51895186014012,-94.33304486392618,-99.51934036339995
MFM_t_8_mxi_955,maximin,20260712,3.572718991007e+08,1.061718327104e-01,6.731881296394e-02,1.577149507482e+00,second_order,-7.345914753560e+09,3.142052699792e+11,2.993703940053e+13,-60.27416800215435,-98.53097416725997,-99.94568493864658
