folder,design,seed,Ec,Pr,Pc0,rp,transition_order,alpha,beta,gamma,alpha_change_percent,beta_change_percent,gamma_change_percent
MFIS_t_5_nomi_3.5_oat_1,variation-oat-ec-minus-L1,20260712,1.099997795945e+08,3.293298591363e-02,2.159873196510e-02,1.524764785583e+00,second_order,-6.660000000000e+09,1.260000000000e+12,4.500000000000e+15,-9.999999999999998,-9.999999999999998,-9.999999999999998
MFIS_t_5_nomi_3.5_oat_2,variation-oat-ec-plus-L1,20260712,1.344441750599e+08,3.293298591363e-02,2.159873196510e-02,1.524764785583e+00,second_order,-8.140000000000e+09,1.540000000000e+12,5.500000000000e+15,10.000000000000009,10.000000000000009,10.000000000000009
MFIS_t_5_nomi_3.5_oat_3,variation-oat-pr-minus-L1,20260712,1.222219773272e+08,2.963968732227e-02,1.943885876859e-02,1.524764785583e+00,second_order,-8.222222222222e+09,1.920438957476e+12,8.467543904215e+15,11.11111111110812,37.1742112482857,69.3508780843
MFIS_t_5_nomi_3.5_oat_4,variation-oat-pr-plus-L1,20260712,1.222219773272e+08,3.622628450499e-02,2.375860516161e-02,1.524764785583e+00,second_order,-6.727272727273e+09,1.051840721262e+12,3.104606615296e+15,-9.090909090905408,-24.868519909857145,-37.90786769408
MFIS_t_5_nomi_3.5_oat_5,variation-oat-rp-minus-L1,20260712,1.222219773272e+08,3.293298591363e-02,2.188580316948e-02,1.504764785583e+00,second_order,-7.091702812665e+09,4.636324922064e+11,5.601257695151e+15,-4.1661782072297315,-66.88339341382856,12.02515390301999
MFIS_t_5_nomi_3.5_oat_6,variation-oat-rp-plus-L1,20260712,1.222219773272e+08,3.293298591363e-02,2.131909415659e-02,1.544764785583e+00,second_order,-7.684107004996e+09,2.278880258569e+12,4.431182049313e+15,3.8392838512973038,62.77716132635713,-11.37635901374
