folder,design,seed,Ec,Pr,Pc0,rp,transition_order,alpha,beta,gamma,alpha_change_percent,beta_change_percent,gamma_change_percent
MFIS_t_5_epr_maximin_1,maximin,20260807,5.020579003842e+07,8.795121627236e-01,5.838274638495e-01,1.506459043438e+00,second_order,-1.094974758049e+08,1.176276119994e+07,1.677875694952e+08,-98.2480403871216,-99.98823723880005,-99.88814162033654
MFIS_t_5_epr_maximin_2,maximin,20260807,5.322032959336e+07,8.337690028225e-01,4.964010843220e-01,1.679627682444e+00,second_order,-1.579277549664e+08,1.940823725149e+08,4.760843764233e+07,-97.47315592053761,-99.8059176274851,-99.96826104157178
MFIS_t_5_epr_maximin_3,maximin,20260807,3.296494235167e+08,2.407620357234e-01,1.606879228118e-01,1.498320667231e+00,second_order,-2.577552559288e+09,1.021815697625e+09,7.494784806341e+11,-58.759159051392,-98.978184302375,399.65232042273334
MFIS_t_5_epr_maximin_4,maximin,20260807,2.089090107921e+08,8.629780770787e-01,5.429334955507e-01,1.589472898892e+00,second_order,-5.380635366373e+08,3.873486902936e+08,4.500214023735e+08,-91.3909834138032,-99.61265130970641,-99.699985731751
MFIS_t_5_epr_maximin_5,maximin,20260807,5.046095320975e+07,2.078008374690e-01,1.294031835645e-01,1.605840225449e+00,second_order,-5.519709443174e+08,7.707492339825e+09,1.175321811641e+11,-91.1684648909216,-92.292507660175,-21.645212557266657
MFIS_t_5_epr_maximin_6,maximin,20260807,5.093567686808e+07,1.351271983813e-01,8.956380634916e-02,1.508725498496e+00,second_order,-7.267129796571e+08,3.946220275967e+09,1.963555013031e+12,-88.3725923254864,-96.05377972403299,1209.036675354
MFIS_t_5_epr_maximin_7,maximin,20260807,9.452055061763e+08,8.389763592454e-01,5.595348787535e-01,1.499417446709e+00,second_order,-2.126397227150e+09,9.460657373647e+07,4.157452578743e+09,-65.9776443656,-99.90539342626353,-97.22836494750466
MFIS_t_5_epr_maximin_8,maximin,20260807,2.085439301024e+08,8.845794469932e-01,5.126006078470e-01,1.725669914261e+00,second_order,-6.091054915886e+08,7.654272106540e+08,1.661569886910e+07,-90.2543121345824,-99.234572789346,-99.9889228674206
MFIS_t_5_epr_maximin_9,maximin,20260807,5.000522209646e+07,1.515502836523e-01,8.906572616231e-02,1.701555583526e+00,second_order,-8.339798484465e+08,3.332472729069e+10,1.300357152112e+11,-86.656322424856,-66.67527270931,-13.309523192533334
MFIS_t_5_epr_maximin_10,maximin,20260807,1.598968411854e+08,3.186197197143e-01,1.925766877384e-01,1.654508255678e+00,second_order,-1.209336680632e+09,9.246615201476e+09,2.625981427303e+10,-80.650613109888,-90.753384798524,-82.49345715131334
