folder,design,seed,Ec,Pr,Pc0,rp,transition_order,alpha,beta,gamma,alpha_change_percent,beta_change_percent,gamma_change_percent
MFIS_t_8_epr_maximin_1,maximin,20275807,5.00E+08,8.69E-01,5.81E-01,1.50E+00,second_order,-1.08E+09,4.93E+06,1.88E+09,-64.08349851,-99.99995073,-98.74407389
MFIS_t_8_epr_maximin_2,maximin,20275807,2.37E+09,7.41E-01,4.93E-01,1.50E+00,second_order,-6.07E+09,5.60E+08,1.91E+10,102.2379916,-99.99439901,-87.23368635
MFIS_t_8_epr_maximin_3,maximin,20275807,5.11E+08,2.39E-01,1.51E-01,1.59E+00,second_order,-4.74E+09,4.40E+10,6.74E+11,57.93023795,-99.55988774,349.0496113
MFIS_t_8_epr_maximin_4,maximin,20275807,1.08E+09,8.40E-01,5.60E-01,1.50E+00,second_order,-2.44E+09,1.51E+08,4.69E+09,-18.6669736,-99.99849001,-96.87621163
MFIS_t_8_epr_maximin_5,maximin,20275807,7.15E+08,2.19E-01,1.46E-01,1.51E+00,second_order,-6.25E+09,1.03E+10,2.48E+12,108.2164886,-99.89746043,1554.859874
MFIS_t_8_epr_maximin_6,maximin,20275807,6.06E+08,8.60E-01,5.24E-01,1.64E+00,second_order,-1.67E+09,1.64E+09,8.31E+08,-44.33357531,-99.98355913,-99.44582266
MFIS_t_8_epr_maximin_7,maximin,20275807,7.56E+08,7.08E-01,4.52E-01,1.56E+00,second_order,-2.29E+09,1.93E+09,5.25E+09,-23.79560854,-99.98067066,-96.50243537
MFIS_t_8_epr_maximin_8,maximin,20275807,5.66E+08,8.65E-01,5.00E-01,1.73E+00,second_order,-1.70E+09,2.26E+09,1.14E+07,-43.36954104,-99.97736506,-99.99237714
MFIS_t_8_epr_maximin_9,maximin,20275807,2.39E+09,8.79E-01,5.58E-01,1.58E+00,second_order,-5.94E+09,3.70E+09,5.14E+09,97.95023937,-99.96295178,-96.57257442
MFIS_t_8_epr_maximin_10,maximin,20275807,8.98E+08,8.74E-01,5.06E-01,1.73E+00,second_order,-2.66E+09,3.43E+09,7.01E+07,-11.40181844,-99.96570043,-99.95325859
5,,,,,,,,,,,,,
