folder,design,seed,alpha,beta,gamma,alpha_change_percent,beta_change_percent,gamma_change_percent,landau_ps_estimate,landau_ec_estimate
MFIS_t_7_nomi_2.5_var_1,LHS,40093189,-9.537364158428e+09,3.109953180698e+11,2.388150630661e+11,-4.62635841572,19.613583872999985,59.21004204406668,0.1731391466993596,640373191.9414136
MFIS_t_7_nomi_2.5_var_2,LHS,40093189,-9.002170239259e+09,3.236876391255e+11,6.552841327289e+10,-9.978297607409992,24.4952458175,-56.31439115140666,0.1663022658143013,577297603.5497769
MFIS_t_7_nomi_2.5_var_3,LHS,40093189,-1.003194177957e+10,2.717595290071e+11,1.150230582570e+11,0.3194177956999944,4.522895771961544,-23.317961162,0.19067080541107528,739968000.112006
MFIS_t_7_nomi_2.5_var_4,LHS,40093189,-1.060623392950e+10,2.261025324704e+11,2.003343713455e+11,6.062339294999997,-13.037487511384615,33.556247563666666,0.21238233494684253,878217767.699101
MFIS_t_7_nomi_2.5_var_5,LHS,40093189,-9.628574894186e+09,2.839556516574e+11,2.180979750213e+11,-3.7142510581399946,9.213712175923083,45.39865001419998,0.18184830845171038,679532111.9350412
MFIS_t_7_nomi_2.5_var_6,LHS,40093189,-9.462205787523e+09,2.967313342297e+11,2.118895819985e+11,-5.377942124769996,14.127436242192303,41.259721332333335,0.17661627845340508,647931709.0715138
MFIS_t_7_nomi_2.5_var_7,LHS,40093189,-1.098973980115e+10,3.043381062055e+11,1.636970027073e+11,9.897398011500002,17.053117771346148,9.131335138199992,0.1882416524051477,801238033.9344186
MFIS_t_7_nomi_2.5_var_8,LHS,40093189,-1.016059619259e+10,1.875865207320e+11,2.206312790221e+11,1.6059619259000124,-27.851338179999996,47.08751934806668,0.22604056882505516,900915262.7661426
MFIS_t_7_nomi_2.5_var_9,LHS,40093189,-1.077009275881e+10,3.341161270945e+11,1.246947391803e+11,7.700927588099993,28.50620272865385,-16.8701738798,0.17848207120247328,742786688.902555
MFIS_t_7_nomi_2.5_var_10,LHS,40093189,-8.759349916867e+09,2.334681802729e+11,7.763230996259e+10,-12.406500831329993,-10.204546048884621,-48.245126691606664,0.19251403457958058,651697223.1698817
