folder,design,alpha,beta,gamma,alpha_change_percent,beta_change_percent,gamma_change_percent,landau_ps_estimate,landau_ec_estimate
MFIS_t_8_nomi_27_var_1,LHS,-8.110130133208e+09,1.420356485513e+12,1.008408023583e+10,1.3766266651000114,-4.417463962786005,65.31279075131147,0.07556251941245118,235878433.18281466
MFIS_t_8_nomi_27_var_2,LHS,-8.295676796639e+09,1.833210415321e+12,1.942093569778e+09,3.6959599579875047,23.36543844690444,-68.16240049544263,0.0672695794643964,214792614.1632792
MFIS_t_8_nomi_27_var_3,LHS,-7.856625361328e+09,1.922532176431e+12,3.947092979471e+09,-1.7921829834000036,29.376324120524888,-35.29355771359016,0.06392627399112788,193314648.70145878
MFIS_t_8_nomi_27_var_4,LHS,-7.994265179417e+09,1.759410952360e+12,3.582371908979e+09,-0.07168525728750152,18.399121962314947,-41.27259165608197,0.06740678606891053,207410922.7948007
MFIS_t_8_nomi_27_var_5,LHS,-8.133897230723e+09,1.125158613353e+12,2.807247913163e+09,1.6737153840374885,-24.28273126830417,-53.97954240716394,0.08502341594416325,266187682.32404414
MFIS_t_8_nomi_27_var_6,LHS,-8.612812374431e+09,1.668593251705e+12,5.906431396130e+09,7.660154680387499,12.287567409488553,-3.1732558011475342,0.07184445991481503,238171081.82431257
MFIS_t_8_nomi_27_var_7,LHS,-7.957511868187e+09,1.618760535970e+12,6.420074574477e+09,-0.5311016476625019,8.934087211978458,5.247124171754103,0.07011212174589093,214744149.5796891
MFIS_t_8_nomi_27_var_8,LHS,-7.826219122934e+09,1.250155255774e+12,6.587252985154e+09,-2.172260963325001,-15.871113339569309,7.987753854983604,0.07912010659861816,238337157.54043502
MFIS_t_8_nomi_27_var_9,LHS,-8.519906488709e+09,1.394917334996e+12,3.048134440304e+09,6.498831108862491,-6.129385262718712,-50.030582945836066,0.07815203304802985,256286160.0321186
MFIS_t_8_nomi_27_var_10,LHS,-7.680590763760e+09,1.176448165767e+12,4.321275268827e+09,-3.9926154529999924,-20.83121360921938,-29.159421822508204,0.08079894817212493,238864669.47957003
