folder,design,seed,alpha,beta,gamma,alpha_change_percent,beta_change_percent,gamma_change_percent,landau_ps_estimate,landau_ec_estimate
MFIS_t_8_nomi_2.5_var_1,LHS,70191478,-1.116112021112e+10,2.316518722733e+11,7.998100268746e+10,11.611202111200015,-3.478386552791668,-46.67933154169332,0.21772619409185628,940372341.7209567
MFIS_t_8_nomi_2.5_var_2,LHS,70191478,-1.015853072759e+10,3.102100772775e+11,1.972547205096e+11,1.5853072759000053,29.254198865624993,31.5031470064,0.17914341276840157,705144426.086155
MFIS_t_8_nomi_2.5_var_3,LHS,70191478,-9.452648190569e+09,2.697108265657e+11,1.417075357122e+11,-5.473518094309993,12.379511069041671,-5.528309525199992,0.18553896370744902,679064526.4843361
MFIS_t_8_nomi_2.5_var_4,LHS,70191478,-8.508777441005e+09,2.382554315538e+11,8.647687228555e+10,-14.912225589950001,-0.7269035192500106,-42.348751809633335,0.1877805713347564,617584734.3358825
MFIS_t_8_nomi_2.5_var_5,LHS,70191478,-8.632208408002e+09,2.497647220864e+11,2.338701945269e+11,-13.677915919979988,4.068634202666654,55.91346301793334,0.18305711109997064,614423633.8542056
MFIS_t_8_nomi_2.5_var_6,LHS,70191478,-9.235404985882e+09,2.781652521533e+11,1.952999167741e+11,-7.645950141180002,15.902188397208338,30.19994451606667,0.18017024247926622,645233368.2461612
MFIS_t_8_nomi_2.5_var_7,LHS,70191478,-1.088096676641e+10,1.799527032029e+11,1.549744812472e+11,8.809667664100008,-25.01970699879167,3.316320831466668,0.2400160391659925,1021210243.6231108
MFIS_t_8_nomi_2.5_var_8,LHS,70191478,-9.038979918416e+09,2.136135780666e+11,1.870151140315e+11,-9.610200815839997,-10.994342472249997,24.676742687666664,0.20212235575459603,711360829.1042259
MFIS_t_8_nomi_2.5_var_9,LHS,70191478,-8.681231751899e+09,2.636611589475e+11,5.604795080378e+10,-13.187682481009999,9.85881622812499,-62.63469946414666,0.18082707254099403,605609380.1734364
MFIS_t_8_nomi_2.5_var_10,LHS,70191478,-1.008029819952e+10,2.449416287382e+11,5.467115266427e+10,0.8029819952000139,2.0590119742500024,-63.552564890486664,0.20194713743211484,785897138.1102668
