folder,gpu,status,return_code,started_at,ended_at,elapsed_seconds,alpha,beta,gamma
MFIS_t_5_nomi_4_var_2,1,simulation_ok,0,2026-07-24T08:59:37.159313+00:00,2026-07-24T13:03:22.310804+00:00,14625.151,-8.514486824520e+09,9.231482472385e+10,1.523701631309e+11
MFIS_t_5_nomi_4_var_3,1,simulation_ok,0,2026-07-24T13:03:22.475189+00:00,2026-07-24T15:09:22.551831+00:00,7560.077,-6.477155668022e+09,1.235179805938e+11,1.107149919535e+11
MFIS_t_5_nomi_4_var_1,0,simulation_ok,0,2026-07-24T08:59:37.158668+00:00,2026-07-24T15:12:52.683905+00:00,22395.525,-8.640277293744e+09,1.558641428246e+11,1.193574933918e+11
MFIS_t_5_nomi_4_var_5,0,simulation_ok,0,2026-07-24T15:12:52.871362+00:00,2026-07-24T17:03:07.940079+00:00,6615.069,-6.683498105040e+09,1.641360765557e+11,1.477639237042e+11
MFIS_t_5_nomi_4_var_4,1,simulation_ok,0,2026-07-24T15:09:22.680643+00:00,2026-07-24T20:38:53.194438+00:00,19770.514,-7.988460034309e+09,1.317077842201e+11,1.921512393720e+11
MFIS_t_5_nomi_4_var_6,0,simulation_ok,0,2026-07-24T17:03:08.060521+00:00,2026-07-24T22:22:08.463574+00:00,19140.403,-7.847552335691e+09,1.109969995319e+11,1.714956603282e+11
MFIS_t_5_nomi_4_var_7,1,simulation_ok,0,2026-07-24T20:38:53.398592+00:00,2026-07-25T00:43:23.725738+00:00,14670.327,-8.321933233130e+09,1.330066742793e+11,2.549249968034e+11
MFIS_t_5_nomi_4_var_8,0,simulation_ok,0,2026-07-24T22:22:08.641236+00:00,2026-07-25T02:42:23.964001+00:00,15615.323,-8.342949972730e+09,1.388063089091e+11,8.799889687126e+10
MFIS_t_5_nomi_4_var_9,1,simulation_ok,0,2026-07-25T00:43:23.889838+00:00,2026-07-25T04:00:24.181045+00:00,11820.291,-6.569282933327e+09,1.181711100225e+11,2.173120587012e+11
MFIS_t_5_nomi_4_var_10,0,simulation_ok,0,2026-07-25T02:42:24.132168+00:00,2026-07-25T05:59:24.352485+00:00,11820.220,-7.375099895404e+09,1.140231599378e+11,1.783140143622e+11
