folder,gpu,status,return_code,started_at,ended_at,elapsed_seconds,alpha,beta,gamma
MFIS_t_6_nomi_5_var_1,0,simulation_ok,0,2026-07-19T18:38:43.575360+08:00,2026-07-19T21:30:28.668956+08:00,10305.094,-1.055168198884e+10,2.901553359785e+11,9.572071351329e+10
MFIS_t_6_nomi_5_var_2,0,simulation_ok,0,2026-07-19T21:30:28.725358+08:00,2026-07-20T01:46:28.790049+08:00,15360.065,-1.096980166925e+10,2.827004998495e+11,1.854619733839e+11
MFIS_t_6_nomi_5_var_3,0,simulation_ok,0,2026-07-20T01:46:28.865474+08:00,2026-07-20T03:21:28.887499+08:00,5700.022,-1.323811155521e+10,3.260187602201e+11,1.724827568160e+11
MFIS_t_6_nomi_5_var_4,0,simulation_ok,0,2026-07-20T03:21:28.934043+08:00,2026-07-20T06:07:28.975513+08:00,9960.041,-1.074964041431e+10,2.433146913456e+11,2.532041084128e+11
MFIS_t_6_nomi_5_var_5,0,simulation_ok,0,2026-07-20T06:07:29.035853+08:00,2026-07-20T07:38:14.055519+08:00,5445.020,-1.361191164587e+10,3.103716766900e+11,2.074715228692e+11
MFIS_t_6_nomi_5_var_6,0,simulation_ok,0,2026-07-20T07:38:14.114444+08:00,2026-07-20T09:49:14.142295+08:00,7860.028,-1.189217874685e+10,2.962433900954e+11,1.504153774673e+11
MFIS_t_6_nomi_5_var_7,0,simulation_ok,0,2026-07-20T09:49:14.195149+08:00,2026-07-20T11:33:29.215915+08:00,6255.021,-1.256413596399e+10,2.222924473090e+11,1.899472291754e+11
MFIS_t_6_nomi_5_var_8,0,simulation_ok,0,2026-07-20T11:33:29.264589+08:00,2026-07-20T13:47:14.296388+08:00,8025.032,-1.244400994276e+10,3.355910981506e+11,2.008168254543e+11
MFIS_t_6_nomi_5_var_9,0,simulation_ok,0,2026-07-20T13:47:14.351535+08:00,2026-07-20T15:59:44.383359+08:00,7950.032,-1.253178043932e+10,2.179731236796e+11,7.575775555699e+10
MFIS_t_6_nomi_5_var_10,0,simulation_ok,0,2026-07-20T15:59:44.436569+08:00,2026-07-20T18:47:14.467938+08:00,10050.031,-1.110415039584e+10,2.860878631627e+11,1.290216137713e+11
