folder,design,seed,alpha,beta,gamma,alpha_change_percent,beta_change_percent,gamma_change_percent,landau_ps_estimate,landau_ec_estimate
MFIS_t_6_nomi_4_var_1,LHS,80093689,-9.322404448513e+09,4.316237801297e+10,1.193574933918e+11,13.687859128207315,19.89549448047223,-20.428337738799996,0.3899377449267889,1545731443.9464202
MFIS_t_6_nomi_4_var_2,LHS,80093689,-9.186683152771e+09,2.556410530814e+10,1.523701631309e+11,12.032721375256106,-28.988596366277775,1.5801087539333292,0.4190350299681874,1759615878.4901218
MFIS_t_6_nomi_4_var_3,LHS,80093689,-6.988510062865e+09,3.420497924137e+10,1.107149919535e+11,-14.774267526036589,-4.986168773972222,-26.190005364333334,0.3747754680616574,1119926188.8114662
MFIS_t_6_nomi_4_var_4,LHS,80093689,-8.619127931754e+09,3.647292486094e+10,1.921512393720e+11,5.1113162409024415,1.3136801692777755,28.10082624800001,0.3703751937087385,1415062045.6747112
MFIS_t_6_nomi_4_var_5,LHS,80093689,-7.211142692280e+09,4.545306735387e+10,1.477639237042e+11,-12.059235460000007,26.258520427416677,-1.4907175305333253,0.33966991385924633,1033391250.9980233
MFIS_t_6_nomi_4_var_6,LHS,80093689,-8.467095941140e+09,3.073763063960e+10,1.714956603282e+11,3.2572675748780533,-14.617692667777781,14.33044021880001,0.3872637573349854,1471152090.108945
MFIS_t_6_nomi_4_var_7,LHS,80093689,-8.978927962062e+09,3.683261749273e+10,2.549249968034e+11,9.49912148856098,2.312826368694454,69.94999786893332,0.35896630718494765,1453774297.8860824
MFIS_t_6_nomi_4_var_8,LHS,80093689,-9.001603917946e+09,3.843867015944e+10,8.799889687126e+10,9.775657535926818,6.7740837762222395,-41.33406875249334,0.41095570167915724,1563893849.8457274
MFIS_t_6_nomi_4_var_9,LHS,80093689,-7.087910533326e+09,3.272430739084e+10,2.173120587012e+11,-13.56206666675609,-9.099146136555557,44.874705800800015,0.34694828941349454,1099143110.1226015
MFIS_t_6_nomi_4_var_10,LHS,80093689,-7.957344623989e+09,3.157564429048e+10,1.783140143622e+11,-2.9592119025731667,-12.28987697088889,18.8760095748,0.37484968141562064,1332393271.8208377
