folder,design,seed,alpha,beta,gamma,alpha_change_percent,beta_change_percent,gamma_change_percent,landau_ps_estimate,landau_ec_estimate
MFIS_t_5_nomi_3_var_1,LHS,865998,-7.178397720072e+09,1.019557119008e+12,2.320794032918e+11,-2.9946254044324383,-27.174491499428576,54.71960219453334,0.08384183954837952,231775601.71469748
MFIS_t_5_nomi_3_var_2,LHS,865998,-8.404364780939e+09,1.432771361268e+12,1.836845094276e+11,13.572497039716215,2.340811519142849,22.456339618400012,0.07655981723492741,247720872.77609307
MFIS_t_5_nomi_3_var_3,LHS,865998,-6.821171504361e+09,1.512761718649e+12,9.500317676753e+10,-7.822006697824325,8.054408474928575,-36.66454882164667,0.06714021952145861,176291271.81814453
MFIS_t_5_nomi_3_var_4,LHS,865998,-7.125029578455e+09,1.238294877445e+12,1.058657639725e+11,-3.7158165073648664,-11.550365896785719,-29.422824018333337,0.07583584973896917,208008215.00262383
MFIS_t_5_nomi_3_var_5,LHS,865998,-7.843607934883e+09,1.414843992094e+12,2.476567216789e+11,5.9947018227432425,1.0602851495714383,65.10448111926665,0.07442061393244494,224748837.43237308
MFIS_t_5_nomi_3_var_6,LHS,865998,-6.662299587596e+09,1.548778302345e+12,7.846083329141e+10,-9.968924491945952,10.62702159607143,-47.692777805726664,0.06557980873225643,168179846.26169974
MFIS_t_5_nomi_3_var_7,LHS,865998,-7.479904805476e+09,1.346764499792e+12,4.682546407821e+10,1.0797946685946025,-3.802535729142853,-68.78302394786,0.07451784469578168,214551924.23845944
MFIS_t_5_nomi_3_var_8,LHS,865998,-7.696911500080e+09,1.266056700872e+12,1.987632380156e+11,4.012317568648638,-9.567378509142854,32.508825343733335,0.07793359524398162,230954926.70213428
MFIS_t_5_nomi_3_var_9,LHS,865998,-8.471978327749e+09,1.611191817754e+12,1.936859925292e+11,14.486193618229715,15.08512983957142,29.123995019466676,0.07249059501504841,236431865.2028599
MFIS_t_5_nomi_3_var_10,LHS,865998,-6.909840194208e+09,1.729704335629e+12,2.146264691268e+11,-6.623781159351349,23.55030968778571,43.084312751199995,0.06318885815697992,168084750.40404344
