folder,design,seed,alpha,beta,gamma,alpha_change_percent,beta_change_percent,gamma_change_percent,landau_ps_estimate,landau_ec_estimate
MFIS_t_6_nomi_1_var_1,LHS,76250798,-5.255633082283e+09,5.335280791297e+12,1.509830209371e+11,-13.842080618311481,-11.078653478383337,0.6553472913999991,0.0313854113695887,63489953.92988899
MFIS_t_6_nomi_1_var_2,LHS,76250798,-5.629388472257e+09,7.794361120192e+12,2.312401217264e+11,-7.7149430777541,29.90601866986666,54.16008115093334,0.02687420931542445,58230179.68236802
MFIS_t_6_nomi_1_var_3,LHS,76250798,-5.676383582656e+09,4.393552224234e+12,1.133106797867e+11,-6.94453143186885,-26.774129596100003,-24.459546808866673,0.03594353076902098,78531774.02976106
MFIS_t_6_nomi_1_var_4,LHS,76250798,-5.594527441375e+09,6.355999755272e+12,1.263766902207e+11,-8.286435387295077,5.933329254533337,-15.748873186200008,0.029667842728071065,63885165.404506296
MFIS_t_6_nomi_1_var_5,LHS,76250798,-6.532365239620e+09,5.613771556003e+12,9.105047867509e+10,7.087954747868852,-6.43714073328333,-39.29968088327334,0.03411173142092738,85767957.6176779
MFIS_t_6_nomi_1_var_6,LHS,76250798,-6.474244095316e+09,5.855553651468e+12,1.622176838884e+11,6.135149103540982,-2.4074391421999963,8.145122592266674,0.03325093802198841,82860112.44346663
MFIS_t_6_nomi_1_var_7,LHS,76250798,-6.727397934645e+09,6.662690854610e+12,2.398132290921e+11,10.285212043360659,11.044847576833327,59.87548606140001,0.031775386080706555,82279440.15646163
MFIS_t_6_nomi_1_var_8,LHS,76250798,-6.412030236810e+09,4.331924027054e+12,8.447825569351e+10,5.115249783770492,-27.801266215766663,-43.68116287099334,0.03847256103788217,94950870.58820683
MFIS_t_6_nomi_1_var_9,LHS,76250798,-6.210872787476e+09,5.945285857426e+12,5.651356149897e+10,1.8175866799344131,-0.9119023762333311,-62.324292334019994,0.03232122334289363,77266274.98651451
MFIS_t_6_nomi_1_var_10,LHS,76250798,-6.772772594740e+09,7.243570925193e+12,1.852084467759e+11,11.029058930163927,20.726182086549993,23.472297850599986,0.030577480463261576,79711276.76893322
