folder,gpu,status,return_code,started_at,ended_at,elapsed_seconds,alpha,beta,gamma
MFIS_t_5_nomi_11_var_1,0,simulation_ok,0,2026-07-24T11:51:41.386280+08:00,2026-07-24T13:27:56.614923+08:00,5775.229,-8.855915727669e+09,5.419134675096e+10,1.452725835598e+11
MFIS_t_5_nomi_11_var_2,0,simulation_ok,0,2026-07-24T13:27:56.717500+08:00,2026-07-24T15:25:57.009828+08:00,7080.292,-8.065695006752e+09,5.304004871751e+10,1.805066749743e+11
MFIS_t_5_nomi_11_var_3,0,simulation_ok,0,2026-07-24T15:25:57.124286+08:00,2026-07-24T16:57:57.288140+08:00,5520.164,-8.302329327298e+09,5.042491495405e+10,1.272373973764e+11
MFIS_t_5_nomi_11_var_4,0,simulation_ok,0,2026-07-24T16:57:57.367804+08:00,2026-07-24T19:33:57.746906+08:00,9360.379,-7.969078289763e+09,4.329229345086e+10,1.851024962608e+11
MFIS_t_5_nomi_11_var_5,0,simulation_ok,0,2026-07-24T19:33:57.852545+08:00,2026-07-24T20:42:27.986846+08:00,4110.134,-9.638845349447e+09,3.670275878958e+10,2.449168104330e+11
MFIS_t_5_nomi_11_var_6,0,simulation_ok,0,2026-07-24T20:42:28.065026+08:00,2026-07-24T21:58:28.199632+08:00,4560.135,-9.663949062833e+09,5.117831008374e+10,1.539684724614e+11
MFIS_t_5_nomi_11_var_7,0,simulation_ok,0,2026-07-24T21:58:28.274308+08:00,2026-07-24T23:45:43.515789+08:00,6435.241,-8.714848471266e+09,4.745345422152e+10,2.038200297256e+11
MFIS_t_5_nomi_11_var_8,0,simulation_ok,0,2026-07-24T23:45:43.621629+08:00,2026-07-25T00:21:13.698068+08:00,2130.076,-1.061972532686e+10,3.364536337038e+10,5.857263600657e+10
MFIS_t_5_nomi_11_var_9,0,simulation_ok,0,2026-07-25T00:21:13.752350+08:00,2026-07-25T01:37:13.935998+08:00,4560.184,-9.841551771424e+09,3.907012294086e+10,1.747439318920e+11
MFIS_t_5_nomi_11_var_10,0,simulation_ok,0,2026-07-25T01:37:14.018208+08:00,2026-07-25T02:34:29.151007+08:00,3435.133,-9.949982501858e+09,4.597172158051e+10,1.565407888925e+11
