plotfile,step,P_mean,P_min,P_max,P_std,Vg_mean,Vg_min,Vg_max,Vg_std,Nx,Ny,Nz,num_FE_cells,sweep_direction
plt00029859,29859,0.025553453702213038,0.02329979445164106,0.026994081468284813,0.0007189196534802474,-4.462317201195962,-4.462317201196024,-4.462317201195903,2.8333100407042153e-14,64,64,59,57344,0.0
plt00029868,29868,0.02489296437698233,0.022324963603276037,0.026202031644273937,0.0007781520080824953,-3.967855121778812,-3.9678551217794586,-3.9678551217780913,3.352202186611775e-13,64,64,59,57344,1.0
plt00029879,29879,0.02415757211330905,0.0212092457455434,0.025312848484979052,0.0008598323119233503,-3.473249579518737,-3.4732495795187686,-3.473249579518709,1.2366035645442177e-14,64,64,59,57344,1.0
plt00029893,29893,0.02332574705856173,0.019907263487836228,0.024296612826251042,0.0009716193583410805,-2.978455889172848,-2.978455889173051,-2.978455889172675,7.032329580830673e-14,64,64,59,57344,1.0
plt00029910,29910,0.022364863249216094,0.01835172637749837,0.023106647622653898,0.0011245152642767888,-2.4834054277556388,-2.483405427755653,-2.4834054277556223,7.538079137233902e-15,64,64,59,57344,1.0
plt00029932,29932,0.021221838483363804,0.01644180811177618,0.02166376285283851,0.0013341273586124228,-1.9879853906576241,-1.9879853906576652,-1.9879853906575904,1.597882485802223e-14,64,64,59,57344,1.0
plt00029960,29960,0.019799998314013186,0.0140303314362856,0.02037071804769887,0.0016199590065181155,-1.4919910658854565,-1.4919910658854847,-1.4919910658854272,1.2660924181561092e-14,64,64,59,57344,1.0
plt00030002,30002,0.017880435663111982,0.010909997514429677,0.018691116584333024,0.0019974593177075357,-0.9949724055650662,-0.9949724055650959,-0.9949724055650334,1.2289805635225442e-14,64,64,59,57344,1.0
plt00030104,30104,0.01467545594959117,0.00665944109058814,0.015966060385650023,0.00247507793142703,-0.4953626954727588,-0.4953626954727781,-0.49536269547274114,7.75992051392631e-15,64,64,59,57344,1.0
plt00030449,30449,0.010512098300213763,0.0030719811460264363,0.012624060553488995,0.0027876041197006274,0.008405980686541428,0.008405980561942299,0.008405980798786308,6.265873043516591e-11,64,64,59,57344,1.0
plt00030716,30716,-0.014970182928617178,-0.016211563858832805,-0.006991469846356856,0.0024399413859949692,0.5264974166027354,0.5264971572166762,0.5264976726409524,1.4494060483914391e-07,64,64,59,57344,1.0
plt00030760,30760,-0.018055894701503403,-0.0188433578343623,-0.01118137152758995,0.0019651397762890234,1.0257911870659204,1.0257911869438496,1.025791187188523,6.967077515315469e-11,64,64,59,57344,1.0
plt00030789,30789,-0.019940000814034322,-0.0204945490019106,-0.014266612626246924,0.0015913967213495306,1.52266214368356,1.5226621436835133,1.522662143683605,2.6021396143247583e-14,64,64,59,57344,1.0
plt00030811,30811,-0.02134366386092505,-0.02181918562310795,-0.016647541172306178,0.001310654052290825,2.018550146031937,2.0185501460318975,2.0185501460319784,1.722921627481465e-14,64,64,59,57344,1.0
plt00030829,30829,-0.022475502437081057,-0.023244640937704092,-0.01853342742319874,0.0011057246438996489,2.5138805738272465,2.5138805738272003,2.5138805738273033,2.107794303405979e-14,64,64,59,57344,1.0
plt00030843,30843,-0.023428726878227286,-0.024423076300973665,-0.020070732597925408,0.0009567073875998585,3.0088508557712053,3.008850855771191,3.0088508557712204,6.972342022896242e-15,64,64,59,57344,1.0
plt00030854,30854,-0.024254870845355696,-0.025430966687129665,-0.021358738197589846,0.0008480888850245551,3.503571132461385,3.50357113246134,3.50357113246143,1.7860276189715674e-14,64,64,59,57344,1.0
plt00030863,30863,-0.02498581315312581,-0.026313734509513343,-0.02246352092109995,0.0007690149501431767,3.998108534355349,3.998108534355348,3.9981085343553504,5.715222817774257e-16,64,64,59,57344,1.0
