folder,design,seed,alpha,beta,gamma,alpha_change_percent,beta_change_percent,gamma_change_percent,landau_ps_estimate,landau_ec_estimate
MFIS_t_8_nomi_2.5_var_7,LHS,70191478,-1.021802793522e+10,2.852190873828e+11,6.798712003711e+10,2.1802793521999986,18.8412864095,-54.67525330859333,0.18847910704029688,743352031.3553327
MFIS_t_8_nomi_2.5_var_8,LHS,70191478,-9.859411518564e+09,3.076062164375e+11,2.474014408303e+11,-1.4058848143600033,28.169256848958323,64.93429388686667,0.17682146401551005,676534253.6378214
MFIS_t_8_nomi_2.5_var_9,LHS,70191478,-8.909766980776e+09,1.726755338309e+11,9.754722058683e+10,-10.902330192240006,-28.05186090379167,-34.96851960878,0.22400014057400336,775280599.256
MFIS_t_8_nomi_2.5_var_10,LHS,70191478,-1.066725520612e+10,1.784866615598e+11,1.122155234909e+11,6.67255206120001,-25.630557683416676,-25.189651006066672,0.24015361778655642,997619120.6893657
