folder,design,alpha,beta,gamma,alpha_change_percent,beta_change_percent,gamma_change_percent,landau_ps_estimate,landau_ec_estimate
MFIS_t_7_nomi_16_var_1,LHS,-8.113559237896e+09,1.054904671430e+12,4.325150763600e+09,1.4194904737000025,-29.0104527974428,-29.09588912131147,0.08769851723828963,273877490.81119883
MFIS_t_7_nomi_16_var_2,LHS,-7.066878957110e+09,1.446047195776e+12,9.311116761476e+09,-11.66401303612501,-2.688614012382229,52.64125838485245,0.06990621039916617,190149891.16330582
MFIS_t_7_nomi_16_var_3,LHS,-7.823896308909e+09,1.711885317943e+12,2.512992508106e+09,-2.2012961386374985,15.200896227658145,-58.80340150645902,0.06760405596052112,203584600.19405472
MFIS_t_7_nomi_16_var_4,LHS,-8.209973792533e+09,1.239570984277e+12,1.017720884900e+10,2.6246724066625093,-16.583379254576048,66.83948932786885,0.0813810665613202,257170490.361429
MFIS_t_7_nomi_16_var_5,LHS,-7.021776366344e+09,1.750768857550e+12,5.428860088975e+09,-12.227795420700005,17.817554343876175,-11.002293623360648,0.06332954822768631,171160401.8764754
MFIS_t_7_nomi_16_var_6,LHS,-7.504397696070e+09,1.278909479937e+12,6.300337786870e+09,-6.1950287991250015,-13.936104984051145,3.2842260142623037,0.07660052402684563,221258457.37876707
MFIS_t_7_nomi_16_var_7,LHS,-7.280047154098e+09,1.211069789062e+12,3.692904037288e+09,-8.999410573775002,-18.501360090040375,-39.46058955265573,0.07753156147654018,217251853.3522603
MFIS_t_7_nomi_16_var_8,LHS,-8.818804734480e+09,1.244930094856e+12,8.196413124421e+09,10.235059180999983,-16.22273924253028,34.36742826919672,0.08416320274614908,285684609.7429872
MFIS_t_7_nomi_16_var_9,LHS,-8.648665676133e+09,1.123493971923e+12,6.895829766426e+09,8.108320951662495,-24.394752898855987,13.046389613540988,0.0877362205253352,292067332.5902675
MFIS_t_7_nomi_16_var_10,LHS,-7.945778321593e+09,1.542047649421e+12,7.371946207673e+09,-0.6777709800874998,3.7717126124495293,20.85157717496722,0.07178173918967279,219534156.75177354
