folder,design,seed,alpha,beta,gamma,alpha_change_percent,beta_change_percent,gamma_change_percent,landau_ps_estimate,landau_ec_estimate
MFIS_t_7_nomi_17_var_1,LHS,20260717,-6.446279358993e+09,3.775499592537e+12,4.831128701304e+10,3.140469743887997,-24.49000814926,-67.79247532464,0.04132021791814554,102523400.37068334
MFIS_t_7_nomi_17_var_2,LHS,20260717,-5.367316352022e+09,6.092726201357e+12,1.655380192288e+11,-14.122938367647997,21.85452402714001,10.358679485866663,0.02968025094625577,61316356.4853461
MFIS_t_7_nomi_17_var_3,LHS,20260717,-5.616682558780e+09,5.737679695108e+12,1.911699915959e+11,-10.13307905952,14.75359390216,27.44666106393332,0.03128705657505862,67639037.92216969
MFIS_t_7_nomi_17_var_4,LHS,20260717,-6.413292407315e+09,3.975450824325e+12,2.062296753055e+11,2.61267851703999,-20.490983513500005,37.48645020366668,0.04016327859536009,99144910.6963874
MFIS_t_7_nomi_17_var_5,LHS,20260717,-6.598551850890e+09,5.305803572977e+12,1.734645836688e+11,5.576829614239998,6.116071459540007,15.6430557792,0.03526467652076612,89565867.6259892
MFIS_t_7_nomi_17_var_6,LHS,20260717,-5.753916799718e+09,6.220468042971e+12,1.568835406335e+11,-7.937331204511988,24.409360859420005,4.589027088999997,0.0304134152495331,67356616.00119254
MFIS_t_7_nomi_17_var_7,LHS,20260717,-6.957162124921e+09,6.198297519739e+12,6.622844484616e+10,11.314593998736001,23.965950394780002,-55.84770343589334,0.03350250251327807,89713793.74135375
MFIS_t_7_nomi_17_var_8,LHS,20260717,-6.565182006750e+09,5.005079182370e+12,2.394411037116e+11,5.042912108000008,0.10158364740000536,59.62740247439999,0.03621631709192684,91518364.6763822
MFIS_t_7_nomi_17_var_9,LHS,20260717,-5.573011273878e+09,5.631205886458e+12,1.447780050241e+11,-10.831819617951998,12.62411772915999,-3.4813299839333345,0.03145855229649568,67480835.52262878
MFIS_t_7_nomi_17_var_10,LHS,20260717,-5.426753497044e+09,4.203462713222e+12,9.229852224219e+10,-13.171944047296002,-15.930745735560004,-38.46765183853999,0.03593025441021396,75050329.65997975
