folder,design,alpha,beta,gamma,alpha_change_percent,beta_change_percent,gamma_change_percent,landau_ps_estimate,landau_ec_estimate
MFIS_t_8_nomi_24_var_1,LHS,-7.663164434646e+09,3.800665555022e+10,1.303576377144e+11,-4.210444566924998,5.574043195055567,24.15013115657143,0.37031038225741253,1216419526.9039254
MFIS_t_8_nomi_24_var_2,LHS,-8.244509724161e+09,3.596511236411e+10,1.243705450901e+11,3.0563715520125045,-0.0969100996944472,18.448138181047625,0.38820187792659583,1382475518.301506
MFIS_t_8_nomi_24_var_3,LHS,-7.062786128529e+09,3.461438535006e+10,4.896313374645e+10,-11.715173393387502,-3.8489295831666714,-53.36844405100001,0.40664739482680945,1178138763.4216623
MFIS_t_8_nomi_24_var_4,LHS,-8.168531732804e+09,4.577999121446e+10,6.777371775298e+10,2.1066466600500044,27.166642262388898,-35.45360214001904,0.3828961683346136,1278148405.8265393
MFIS_t_8_nomi_24_var_5,LHS,-8.931259079269e+09,2.588323795067e+10,4.042989205433e+10,11.64073849086249,-28.102116803694454,-61.4953409006381,0.4985552788536202,1882961659.3339295
MFIS_t_8_nomi_24_var_6,LHS,-6.950181903770e+09,3.612594908053e+10,3.510011046848e+10,-13.12272620287499,0.34985855702778235,-66.57132336335239,0.40707258421231435,1140816445.8050992
MFIS_t_8_nomi_24_var_7,LHS,-8.491235993618e+09,2.911139884451e+10,7.119529192098e+10,6.140449920225,-19.135003209694446,-32.19496007525715,0.4437141971779692,1617834523.240289
MFIS_t_8_nomi_24_var_8,LHS,-8.549281613439e+09,3.218707548375e+10,1.568799651339e+11,6.866020167987497,-10.591456989583337,49.40949060371429,0.3903894669458878,1482771949.960874
MFIS_t_8_nomi_24_var_9,LHS,-6.860544536401e+09,3.111920059454e+10,1.358031241120e+11,-14.243193294987499,-13.557776126277776,29.336308678095246,0.3710879264828245,1111893495.0340075
MFIS_t_8_nomi_24_var_10,LHS,-8.838275233340e+09,2.760199057583e+10,1.011287440718e+11,10.478440416750011,-23.327803956027772,-3.6869104078095183,0.43489986398093655,1698012969.0712342
